Time,Flow
0.0,0.628125
0.01,0.0625
0.02,0.078125
0.03,-0.3671875
0.04,-0.1203125
0.05,-0.8734375
0.06,-0.1328125
0.07,-0.6515625
0.08,0.44375
0.09,0.7078125
0.1,0.9875
0.11,-0.7
0.12,0.421875
0.13,-0.26875
0.14,-1.025
0.15,-0.8359375
0.16,-0.46875
0.17,0.0734375
0.18,0.2296875
0.19,0.5015625
0.2,0.5703125
0.21,0.95625
0.22,0.046875
0.23,-0.478125
0.24,-1.015625
0.25,-1.595313
0.26,-0.215625
0.27,-0.225
0.28,0.4359375
0.29,0.259375
0.3,0.0703125
0.31,0.54375
0.32,0.4359375
0.33,-0.7078125
0.34,-0.9421875
0.35,-0.365625
0.36,0.30625
0.37,0.49375
0.38,0.4875
0.39,1.353125
0.4,0.58125
0.41,-0.03125
0.42,-0.121875
0.43,1.0375
0.44,-0.3
0.45,-0.5
0.46,0.115625
0.47,-0.4515625
0.48,0.2703125
0.49,0.6859375
0.5,1.11875
0.51,0.6078125
0.52,0.146875
0.53,0.1265625
0.54,-0.403125
0.55,-0.4359375
0.56,-0.41875
0.57,0.003125
0.58,-0.1265625
0.59,0.5359375
0.6,0.6140625
0.61,0.590625
0.62,0.26875
0.63,-0.1734375
0.64,-0.7296875
0.65,-0.6796875
0.66,-0.925
0.67,-0.734375
0.68,0.3765625
0.69,0.4609375
0.7,0.746875
0.71,0.05
0.72,0.8265625
0.73,-0.0140625
0.74,-0.1546875
0.75,-0.38125
0.76,-0.6453125
0.77,-0.5
0.78,-0.0171875
0.79,0.7765625
0.8,0.49375
0.81,0.35
0.82,0.5734375
0.83,-0.175
0.84,-0.09375
0.85,-0.45625
0.86,-0.121875
0.87,-0.54375
0.88,0.2375
0.89,0.24375
0.9,0.8765625
0.91,0.925
0.92,0.1578125
0.93,0.0453125
0.94,-0.2453125
0.95,-0.796875
0.96,-0.9
0.97,0.4875
0.98,0.10625
0.99,0.2609375
1.0,0.3578125
1.01,0.984375
1.02,1.071875
1.03,0.4296875
1.04,-0.2984375
1.05,-0.3328125
1.06,-0.421875
1.07,-0.54375
1.08,-0.2671875
1.09,0.4765625
1.1,0.25625
1.11,0.4015625
1.12,1.182813
1.13,0.2671875
1.14,-0.4296875
1.15,-0.5125
1.16,-0.9484375
1.17,-0.6875
1.18,-0.1875
1.19,0.615625
1.2,0.3515625
1.21,0.3875
1.22,0.2765625
1.23,0.46875
1.24,-0.15
1.25,-0.2234375
1.26,-0.70625
1.27,-0.6609375
