Interval=	0.001 s
ExcelDateTime=	4.5384630966994235e+004	4/2/2024 15:08:35.548302
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	10.000 V
UnitName=	L/min
TopValue=	50.00
BottomValue=	-50.00
0	-0.6296875
0.001	-0.5921875
0.002	-0.2203125
0.003	0.3171875
0.004	0.790625
0.005	1.004688
0.006	0.821875
0.007	0.30625
0.008	-0.2328125
0.009	-0.49375
0.01	-0.409375
0.011	-0.1109375
0.012	0.2375
0.013	0.55
0.014	0.75
0.015	0.665625
0.016	0.23125
0.017	-0.3203125
0.018	-0.63125
0.019	-0.5421875
0.02	-0.175
0.021	0.228125
0.022	0.5109375
0.023	0.634375
0.024	0.5390625
0.025	0.1765625
0.026	-0.3046875
0.027	-0.6140625
0.028	-0.5703125
0.029	-0.234375
0.03	0.175
0.031	0.478125
0.032	0.6140625
0.033	0.55
0.034	0.2484375
0.035	-0.203125
0.036	-0.5671875
0.037	-0.6171875
0.038	-0.3171875
0.039	0.1546875
0.04	0.5625
0.041	0.78125
0.042	0.7328125
0.043	0.36875
0.044	-0.1640625
0.045	-0.5515625
0.046	-0.5859375
0.047	-0.296875
0.048	0.128125
0.049	0.5015625
0.05	0.6921875
0.051	0.6078125
0.052	0.2359375
0.053	-0.24375
0.054	-0.5390625
0.055	-0.5015625
0.056	-0.21875
0.057	0.10625
0.058	0.346875
0.059	0.4859375
0.06	0.4859375
0.061	0.2515625
0.062	-0.19375
0.063	-0.6296875
0.064	-0.80625
0.065	-0.609375
0.066	-0.1515625
0.067	0.3140625
0.068	0.603125
0.069	0.63125
0.07	0.371875
0.071	-0.0765625
0.072	-0.4765625
0.073	-0.6328125
0.074	-0.490625
0.075	-0.1171875
0.076	0.321875
0.077	0.665625
0.078	0.778125
0.079	0.5640625
0.08	0.08125
0.081	-0.4
0.082	-0.6125
0.083	-0.490625
0.084	-0.171875
0.085	0.175
0.086	0.4703125
0.087	0.6484375
0.088	0.5734375
0.089	0.228125
0.09	-0.171875
0.091	-0.3859375
0.092	-0.359375
0.093	-0.165625
0.094	0.0984375
0.095	0.359375
0.096	0.5203125
0.097	0.4421875
0.098	0.1
0.099	-0.3125
0.1	-0.5390625
0.101	-0.475
0.102	-0.190625
0.103	0.1484375
0.104	0.4140625
0.105	0.5265625
0.106	0.4078125
0.107	0.05625
0.108	-0.3453125
0.109	-0.5390625
0.11	-0.4140625
0.111	-0.053125
0.112	0.3609375
0.113	0.6859375
0.114	0.8390625
0.115	0.721875
0.116	0.3015625
0.117	-0.225
0.118	-0.5453125
0.119	-0.51875
0.12	-0.2328125
0.121	0.1359375
0.122	0.459375
0.123	0.65625
0.124	0.6125
0.125	0.2625
0.126	-0.2375
0.127	-0.5796875
0.128	-0.5828125
0.129	-0.315625
0.13	0.021875
0.131	0.2890625
0.132	0.4578125
0.133	0.4796875
0.134	0.2703125
0.135	-0.1203125
0.136	-0.4703125
0.137	-0.5609375
0.138	-0.340625
0.139	0.0515625
0.14	0.4015625
0.141	0.6
0.142	0.6015625
0.143	0.340625
0.144	-0.13125
0.145	-0.5671875
0.146	-0.696875
0.147	-0.415625
0.148	0.146875
0.149	0.6890625
0.15	0.953125
0.151	0.859375
0.152	0.45
0.153	-0.1421875
0.154	-0.6609375
0.155	-0.8859375
0.156	-0.753125
0.157	-0.34375
0.158	0.1796875
0.159	0.6375
0.16	0.85
0.161	0.6859375
0.162	0.21875
0.163	-0.2703125
0.164	-0.5203125
0.165	-0.4625
0.166	-0.203125
0.167	0.11875
0.168	0.4140625
0.169	0.5859375
0.17	0.4890625
0.171	0.1125
0.172	-0.31875
0.173	-0.5359375
0.174	-0.4375
0.175	-0.096875
0.176	0.3265625
0.177	0.696875
0.178	0.896875
0.179	0.784375
0.18	0.33125
0.181	-0.2234375
0.182	-0.5546875
0.183	-0.509375
0.184	-0.1625
0.185	0.2953125
0.186	0.6734375
0.187	0.8296875
0.188	0.653125
0.189	0.18125
0.19	-0.3328125
0.191	-0.596875
0.192	-0.50625
0.193	-0.159375
0.194	0.25
0.195	0.5625
0.196	0.6765625
0.197	0.4984375
0.198	0.028125
0.199	-0.5
0.2	-0.7671875
0.201	-0.659375
0.202	-0.3234375
0.203	0.0234375
0.204	0.29375
0.205	0.4671875
0.206	0.45625
0.207	0.1703125
0.208	-0.2796875
0.209	-0.6046875
0.21	-0.5828125
0.211	-0.234375
0.212	0.196875
0.213	0.478125
0.214	0.5484375
0.215	0.415625
0.216	0.078125
0.217	-0.3609375
0.218	-0.6890625
0.219	-0.721875
0.22	-0.4359375
0.221	0.0203125
0.222	0.4515625
0.223	0.73125
0.224	0.7640625
0.225	0.478125
0.226	-0.0171875
0.227	-0.440625
0.228	-0.565625
0.229	-0.39375
0.23	-0.0859375
0.231	0.20625
0.232	0.415625
0.233	0.4640625
0.234	0.240625
0.235	-0.1984375
0.236	-0.5921875
0.237	-0.709375
0.238	-0.5203125
0.239	-0.1484375
0.24	0.25
0.241	0.5546875
0.242	0.6421875
0.243	0.4171875
0.244	-0.0265625
0.245	-0.4171875
0.246	-0.55
0.247	-0.4171875
0.248	-0.125
0.249	0.20625
0.25	0.4859375
0.251	0.6109375
0.252	0.4609375
0.253	0.0921875
0.254	-0.2234375
0.255	-0.2859375
0.256	-0.11875
0.257	0.1609375
0.258	0.45625
0.259	0.6984375
0.26	0.7953125
0.261	0.625
0.262	0.18125
0.263	-0.3046875
0.264	-0.5453125
0.265	-0.453125
0.266	-0.15
0.267	0.2
0.268	0.4953125
0.269	0.646875
0.27	0.521875
0.271	0.1078125
0.272	-0.3625
0.273	-0.6
0.274	-0.5203125
0.275	-0.25625
0.276	0.0359375
0.277	0.28125
0.278	0.43125
0.279	0.3640625
0.28	0.0265625
0.281	-0.4171875
0.282	-0.6875
0.283	-0.6140625
0.284	-0.2484375
0.285	0.1859375
0.286	0.49375
0.287	0.603125
0.288	0.478125
0.289	0.1234375
0.29	-0.3109375
0.291	-0.584375
0.292	-0.5515625
0.293	-0.26875
0.294	0.0921875
0.295	0.40625
0.296	0.6078125
0.297	0.5921875
0.298	0.2796875
0.299	-0.1875
0.3	-0.51875
0.301	-0.5328125
0.302	-0.271875
0.303	0.0984375
0.304	0.43125
0.305	0.6484375
0.306	0.646875
0.307	0.3328125
0.308	-0.159375
0.309	-0.5234375
0.31	-0.5796875
0.311	-0.384375
0.312	-0.08125
0.313	0.209375
0.314	0.409375
0.315	0.4234375
0.316	0.1953125
0.317	-0.1671875
0.318	-0.440625
0.319	-0.453125
0.32	-0.2
0.321	0.1765625
0.322	0.5
0.323	0.684375
0.324	0.6796875
0.325	0.4140625
0.326	-0.065625
0.327	-0.5234375
0.328	-0.703125
0.329	-0.5125
0.33	-0.0546875
0.331	0.4609375
0.332	0.8234375
0.333	0.865625
0.334	0.5140625
0.335	-0.0734375
0.336	-0.54375
0.337	-0.653125
0.338	-0.434375
0.339	-0.071875
0.34	0.2859375
0.341	0.553125
0.342	0.6203125
0.343	0.378125
0.344	-0.0953125
0.345	-0.50625
0.346	-0.6265625
0.347	-0.478125
0.348	-0.221875
0.349	0.034375
0.35	0.271875
0.351	0.44375
0.352	0.4203125
0.353	0.1453125
0.354	-0.234375
0.355	-0.4890625
0.356	-0.484375
0.357	-0.2484375
0.358	0.08125
0.359	0.365625
0.36	0.5171875
0.361	0.4453125
0.362	0.128125
0.363	-0.2875
0.364	-0.5546875
0.365	-0.53125
0.366	-0.2546875
0.367	0.1328125
0.368	0.496875
0.369	0.721875
0.37	0.665625
0.371	0.2765625
0.372	-0.2421875
0.373	-0.5765625
0.374	-0.5578125
0.375	-0.25
0.376	0.171875
0.377	0.565625
0.378	0.825
0.379	0.784375
0.38	0.359375
0.381	-0.2390625
0.382	-0.6453125
0.383	-0.6703125
0.384	-0.3875
0.385	0
0.386	0.3515625
0.387	0.5875
0.388	0.60625
0.389	0.34375
0.39	-0.075
0.391	-0.3984375
0.392	-0.4546875
0.393	-0.246875
0.394	0.0796875
0.395	0.3640625
0.396	0.5140625
0.397	0.4671875
0.398	0.171875
0.399	-0.26875
0.4	-0.6109375
0.401	-0.665625
0.402	-0.4140625
0.403	0.01875
0.404	0.465625
0.405	0.7828125
0.406	0.8140625
0.407	0.4546875
0.408	-0.1484375
0.409	-0.6484375
0.41	-0.7796875
0.411	-0.5484375
0.412	-0.1421875
0.413	0.25
0.414	0.525
0.415	0.575
0.416	0.3078125
0.417	-0.16875
0.418	-0.5515625
0.419	-0.609375
0.42	-0.3640625
0.421	-0.0015625
0.422	0.296875
0.423	0.4625
0.424	0.44375
0.425	0.178125
0.426	-0.2609375
0.427	-0.628125
0.428	-0.70625
0.429	-0.46875
0.43	-0.0609375
0.431	0.3
0.432	0.4921875
0.433	0.509375
0.434	0.3359375
0.435	-0.0296875
0.436	-0.43125
0.437	-0.6265625
0.438	-0.478125
0.439	-0.0625
0.44	0.409375
0.441	0.740625
0.442	0.8109375
0.443	0.5515625
0.444	0.0171875
0.445	-0.534375
0.446	-0.7859375
0.447	-0.6109375
0.448	-0.146875
0.449	0.346875
0.45	0.6890625
0.451	0.75625
0.452	0.428125
0.453	-0.2015625
0.454	-0.7625
0.455	-0.934375
0.456	-0.6984375
0.457	-0.234375
0.458	0.2578125
0.459	0.634375
0.46	0.7796875
0.461	0.6125
0.462	0.1734375
0.463	-0.3109375
0.464	-0.5953125
0.465	-0.5765625
0.466	-0.30625
0.467	0.0859375
0.468	0.4703125
0.469	0.7171875
0.47	0.6796875
0.471	0.3015625
0.472	-0.24375
0.473	-0.6515625
0.474	-0.7
0.475	-0.3625
0.476	0.184375
0.477	0.6796875
0.478	0.9234375
0.479	0.796875
0.48	0.321875
0.481	-0.2578125
0.482	-0.625
0.483	-0.6453125
0.484	-0.3859375
0.485	0.0296875
0.486	0.4765625
0.487	0.8
0.488	0.8109375
0.489	0.4375
0.49	-0.1171875
0.491	-0.490625
0.492	-0.4859375
0.493	-0.19375
0.494	0.14375
0.495	0.3375
0.496	0.3671875
0.497	0.265625
0.498	-0.009375
0.499	-0.4265625
0.5	-0.7484375
0.501	-0.7390625
0.502	-0.4078125
0.503	0.040625
0.504	0.41875
0.505	0.6578125
0.506	0.7
0.507	0.4515625
0.508	-0.078125
0.509	-0.6515625
0.51	-0.925
0.511	-0.7
0.512	-0.115625
0.513	0.4703125
0.514	0.809375
0.515	0.821875
0.516	0.48125
0.517	-0.1
0.518	-0.60625
0.519	-0.7515625
0.52	-0.5109375
0.521	-0.0765625
0.522	0.34375
0.523	0.6265625
0.524	0.6828125
0.525	0.4171875
0.526	-0.10625
0.527	-0.596875
0.528	-0.7640625
0.529	-0.5609375
0.53	-0.175
0.531	0.1765625
0.532	0.4015625
0.533	0.459375
0.534	0.309375
0.535	0.03125
0.536	-0.203125
0.537	-0.284375
0.538	-0.203125
0.539	0.0109375
0.54	0.2875
0.541	0.53125
0.542	0.640625
0.543	0.48125
0.544	0.0265625
0.545	-0.521875
0.546	-0.875
0.547	-0.8859375
0.548	-0.59375
0.549	-0.1296875
0.55	0.3625
0.551	0.715625
0.552	0.7375
0.553	0.3578125
0.554	-0.2203125
0.555	-0.6625
0.556	-0.7546875
0.557	-0.5125
0.558	-0.090625
0.559	0.3421875
0.56	0.6328125
0.561	0.6171875
0.562	0.2328125
0.563	-0.3203125
0.564	-0.7015625
0.565	-0.71875
0.566	-0.4328125
0.567	-0.0453125
0.568	0.2765625
0.569	0.45
0.57	0.4078125
0.571	0.1078125
0.572	-0.3421875
0.573	-0.7
0.574	-0.7625
0.575	-0.5078125
0.576	-0.0875
0.577	0.2984375
0.578	0.528125
0.579	0.534375
0.58	0.28125
0.581	-0.1328125
0.582	-0.48125
0.583	-0.5625
0.584	-0.3390625
0.585	0.0765625
0.586	0.4953125
0.587	0.771875
0.588	0.7859375
0.589	0.453125
0.59	-0.115625
0.591	-0.596875
0.592	-0.728125
0.593	-0.4875
0.594	-0.0515625
0.595	0.3734375
0.596	0.659375
0.597	0.709375
0.598	0.45
0.599	-0.0421875
0.6	-0.50625
0.601	-0.6890625
0.602	-0.5234375
0.603	-0.1640625
0.604	0.1796875
0.605	0.396875
0.606	0.4359375
0.607	0.2453125
0.608	-0.128125
0.609	-0.4984375
0.61	-0.6578125
0.611	-0.5140625
0.612	-0.1421875
0.613	0.26875
0.614	0.56875
0.615	0.6609375
0.616	0.4609375
0.617	0.0046875
0.618	-0.4796875
0.619	-0.7140625
0.62	-0.5828125
0.621	-0.2
0.622	0.225
0.623	0.5578125
0.624	0.7140625
0.625	0.578125
0.626	0.1515625
0.627	-0.3359375
0.628	-0.6
0.629	-0.5359375
0.63	-0.2375
0.631	0.1203125
0.632	0.4109375
0.633	0.540625
0.634	0.3875
0.635	-0.0609375
0.636	-0.56875
0.637	-0.83125
0.638	-0.7453125
0.639	-0.4125
0.64	0.0015625
0.641	0.359375
0.642	0.5609375
0.643	0.51875
0.644	0.2140625
0.645	-0.2046875
0.646	-0.5109375
0.647	-0.5484375
0.648	-0.30625
0.649	0.0875
0.65	0.4390625
0.651	0.6046875
0.652	0.5046875
0.653	0.1359375
0.654	-0.33125
0.655	-0.6390625
0.656	-0.6234375
0.657	-0.2921875
0.658	0.2
0.659	0.6296875
0.66	0.828125
0.661	0.703125
0.662	0.2609375
0.663	-0.2921875
0.664	-0.646875
0.665	-0.63125
0.666	-0.3125
0.667	0.1078125
0.668	0.478125
0.669	0.725
0.67	0.7328125
0.671	0.39375
0.672	-0.1640625
0.673	-0.603125
0.674	-0.690625
0.675	-0.4546875
0.676	-0.0890625
0.677	0.2390625
0.678	0.4734375
0.679	0.5296875
0.68	0.290625
0.681	-0.1890625
0.682	-0.6359375
0.683	-0.79375
0.684	-0.603125
0.685	-0.1875
0.686	0.2546875
0.687	0.546875
0.688	0.5671875
0.689	0.2640625
0.69	-0.2453125
0.691	-0.68125
0.692	-0.803125
0.693	-0.5515625
0.694	-0.05625
0.695	0.4515625
0.696	0.7703125
0.697	0.7625
0.698	0.3625
0.699	-0.271875
0.7	-0.7890625
0.701	-0.9140625
0.702	-0.6453125
0.703	-0.184375
0.704	0.24375
0.705	0.5328125
0.706	0.634375
0.707	0.471875
0.708	0.0515625
0.709	-0.425
0.71	-0.70625
0.711	-0.7109375
0.712	-0.5109375
0.713	-0.1984375
0.714	0.159375
0.715	0.428125
0.716	0.4140625
0.717	0.053125
0.718	-0.4203125
0.719	-0.6765625
0.72	-0.5796875
0.721	-0.2359375
0.722	0.15625
0.723	0.4421875
0.724	0.5421875
0.725	0.409375
0.726	0.0625
0.727	-0.3515625
0.728	-0.6140625
0.729	-0.5921875
0.73	-0.2875
0.731	0.1703125
0.732	0.590625
0.733	0.7765625
0.734	0.58125
0.735	0.053125
0.736	-0.5234375
0.737	-0.8234375
0.738	-0.7390625
0.739	-0.365625
0.74	0.1203125
0.741	0.5625
0.742	0.81875
0.743	0.7359375
0.744	0.25625
0.745	-0.3640625
0.746	-0.6984375
0.747	-0.5953125
0.748	-0.2640625
0.749	0.0421875
0.75	0.26875
0.751	0.4625
0.752	0.525
0.753	0.2578125
0.754	-0.3015625
0.755	-0.809375
0.756	-0.9421875
0.757	-0.653125
0.758	-0.1453125
0.759	0.3234375
0.76	0.5890625
0.761	0.5625
0.762	0.221875
0.763	-0.31875
0.764	-0.8296875
0.765	-1.05625
0.766	-0.8640625
0.767	-0.3453125
0.768	0.24375
0.769	0.6671875
0.77	0.7359375
0.771	0.3609375
0.772	-0.2671875
0.773	-0.7578125
0.774	-0.8359375
0.775	-0.51875
0.776	-0.025
0.777	0.428125
0.778	0.725
0.779	0.765625
0.78	0.4734375
0.781	-0.046875
0.782	-0.49375
0.783	-0.61875
0.784	-0.4046875
0.785	-0.0203125
0.786	0.3578125
0.787	0.6125
0.788	0.6390625
0.789	0.3390625
0.79	-0.2078125
0.791	-0.7078125
0.792	-0.88125
0.793	-0.6765625
0.794	-0.2578125
0.795	0.1375
0.796	0.35
0.797	0.3328125
0.798	0.103125
0.799	-0.2578125
0.8	-0.6125
0.801	-0.8109375
0.802	-0.7328125
0.803	-0.38125
0.804	0.078125
0.805	0.4390625
0.806	0.55625
0.807	0.346875
0.808	-0.1234375
0.809	-0.5890625
0.81	-0.7921875
0.811	-0.6828125
0.812	-0.35625
0.813	0.071875
0.814	0.4625
0.815	0.640625
0.816	0.453125
0.817	-0.06875
0.818	-0.621875
0.819	-0.8609375
0.82	-0.684375
0.821	-0.2546875
0.822	0.1859375
0.823	0.509375
0.824	0.659375
0.825	0.55625
0.826	0.171875
0.827	-0.2984375
0.828	-0.575
0.829	-0.5453125
0.83	-0.3109375
0.831	-0.046875
0.832	0.16875
0.833	0.3390625
0.834	0.36875
0.835	0.1140625
0.836	-0.3296875
0.837	-0.6578125
0.838	-0.653125
0.839	-0.34375
0.84	0.09375
0.841	0.4875
0.842	0.7421875
0.843	0.740625
0.844	0.4
0.845	-0.1390625
0.846	-0.565625
0.847	-0.65625
0.848	-0.440625
0.849	-0.1
0.85	0.2109375
0.851	0.4265625
0.852	0.4421875
0.853	0.146875
0.854	-0.35
0.855	-0.7328125
0.856	-0.775
0.857	-0.5
0.858	-0.103125
0.859	0.234375
0.86	0.425
0.861	0.4203125
0.862	0.1890625
0.863	-0.190625
0.864	-0.528125
0.865	-0.6609375
0.866	-0.521875
0.867	-0.1671875
0.868	0.2328125
0.869	0.521875
0.87	0.584375
0.871	0.346875
0.872	-0.1171875
0.873	-0.54375
0.874	-0.678125
0.875	-0.4578125
0.876	-0.025
0.877	0.4015625
0.878	0.6984375
0.879	0.7921875
0.88	0.5953125
0.881	0.1296875
0.882	-0.36875
0.883	-0.6421875
0.884	-0.596875
0.885	-0.3140625
0.886	0.0671875
0.887	0.421875
0.888	0.6
0.889	0.4328125
0.89	-0.071875
0.891	-0.60625
0.892	-0.8140625
0.893	-0.6171875
0.894	-0.2171875
0.895	0.1421875
0.896	0.3640625
0.897	0.45625
0.898	0.3765625
0.899	0.090625
0.9	-0.2875
0.901	-0.5328125
0.902	-0.478125
0.903	-0.1296875
0.904	0.31875
0.905	0.653125
0.906	0.7578125
0.907	0.575
0.908	0.128125
0.909	-0.4078125
0.91	-0.765625
0.911	-0.7578125
0.912	-0.4015625
0.913	0.1
0.914	0.5265625
0.915	0.7421875
0.916	0.653125
0.917	0.2515625
0.918	-0.2484375
0.919	-0.5578125
0.92	-0.540625
0.921	-0.2671875
0.922	0.1
0.923	0.41875
0.924	0.5875
0.925	0.4921875
0.926	0.1015625
0.927	-0.4015625
0.928	-0.7375
0.929	-0.753125
0.93	-0.5125
0.931	-0.2046875
0.932	0.0375
0.933	0.2
0.934	0.2390625
0.935	0.071875
0.936	-0.253125
0.937	-0.5328125
0.938	-0.58125
0.939	-0.365625
0.94	-0.0171875
0.941	0.29375
0.942	0.475
0.943	0.4625
0.944	0.2
0.945	-0.2265625
0.946	-0.5859375
0.947	-0.6953125
0.948	-0.53125
0.949	-0.203125
0.95	0.153125
0.951	0.44375
0.952	0.546875
0.953	0.3390625
0.954	-0.115625
0.955	-0.53125
0.956	-0.6671875
0.957	-0.5140625
0.958	-0.2140625
0.959	0.109375
0.96	0.39375
0.961	0.5125
0.962	0.3078125
0.963	-0.15625
0.964	-0.5578125
0.965	-0.63125
0.966	-0.384375
0.967	-0.0234375
0.968	0.25625
0.969	0.3984375
0.97	0.4140625
0.971	0.2703125
0.972	-0.0453125
0.973	-0.3875
0.974	-0.54375
0.975	-0.4234375
0.976	-0.125
0.977	0.1921875
0.978	0.43125
0.979	0.534375
0.98	0.4015625
0.981	0.0203125
0.982	-0.415625
0.983	-0.6578125
0.984	-0.5890625
0.985	-0.2890625
0.986	0.071875
0.987	0.36875
0.988	0.5203125
0.989	0.4125
0.99	0.0265625
0.991	-0.4125
0.992	-0.6421875
0.993	-0.6109375
0.994	-0.428125
0.995	-0.178125
0.996	0.1203125
0.997	0.3921875
0.998	0.4234375
0.999	0.0796875
1	-0.446875
1.001	-0.803125
1.002	-0.7984375
