Interval=	0.001 s
ExcelDateTime=	4.5384578905568058e+004	4/2/2024 13:53:37.44108
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	10.000 V
UnitName=	L/min
TopValue=	50.00
BottomValue=	-50.00
0	0.5546875
0.001	0.0890625
0.002	-0.35
0.003	-0.4546875
0.004	-0.25625
0.005	0.0125
0.006	0.1640625
0.007	0.1796875
0.008	0.1078125
0.009	-0.065625
0.01	-0.3453125
0.011	-0.6203125
0.012	-0.73125
0.013	-0.575
0.014	-0.1890625
0.015	0.240625
0.016	0.5296875
0.017	0.590625
0.018	0.4015625
0.019	0.021875
0.02	-0.353125
0.021	-0.509375
0.022	-0.38125
0.023	-0.0609375
0.024	0.3265625
0.025	0.69375
0.026	0.903125
0.027	0.7296875
0.028	0.15625
0.029	-0.459375
0.03	-0.709375
0.031	-0.5140625
0.032	-0.096875
0.033	0.2984375
0.034	0.5828125
0.035	0.73125
0.036	0.625
0.037	0.2109375
0.038	-0.278125
0.039	-0.5328125
0.04	-0.4671875
0.041	-0.2203125
0.042	0.0421875
0.043	0.240625
0.044	0.3625
0.045	0.359375
0.046	0.1578125
0.047	-0.1953125
0.048	-0.50625
0.049	-0.5796875
0.05	-0.35625
0.051	0.0390625
0.052	0.4046875
0.053	0.5859375
0.054	0.503125
0.055	0.159375
0.056	-0.3
0.057	-0.6421875
0.058	-0.69375
0.059	-0.428125
0.06	0.025
0.061	0.4953125
0.062	0.8390625
0.063	0.871875
0.064	0.4703125
0.065	-0.1640625
0.066	-0.6078125
0.067	-0.634375
0.068	-0.3390625
0.069	0.0421875
0.07	0.3625
0.071	0.584375
0.072	0.6109375
0.073	0.2953125
0.074	-0.26875
0.075	-0.7125
0.076	-0.7625
0.077	-0.465625
0.078	-0.0640625
0.079	0.24375
0.08	0.3875
0.081	0.353125
0.082	0.1109375
0.083	-0.2890625
0.084	-0.659375
0.085	-0.7796875
0.086	-0.5703125
0.087	-0.15
0.088	0.2578125
0.089	0.49375
0.09	0.5109375
0.091	0.3171875
0.092	-0.021875
0.093	-0.35625
0.094	-0.5203125
0.095	-0.41875
0.096	-0.10625
0.097	0.2765625
0.098	0.609375
0.099	0.7625
0.1	0.5671875
0.101	0.05
0.102	-0.459375
0.103	-0.6359375
0.104	-0.4546875
0.105	-0.1125
0.106	0.21875
0.107	0.484375
0.108	0.6171875
0.109	0.46875
0.11	0.0515625
0.111	-0.3515625
0.112	-0.4671875
0.113	-0.296875
0.114	-0.021875
0.115	0.2
0.116	0.315625
0.117	0.3375
0.118	0.2375
0.119	-0.0359375
0.12	-0.4046875
0.121	-0.659375
0.122	-0.6390625
0.123	-0.353125
0.124	0.040625
0.125	0.371875
0.126	0.528125
0.127	0.4265625
0.128	0.0640625
0.129	-0.396875
0.13	-0.6890625
0.131	-0.6390625
0.132	-0.2765625
0.133	0.2359375
0.134	0.7265625
0.135	1.032813
0.136	0.96875
0.137	0.4625
0.138	-0.2359375
0.139	-0.7109375
0.14	-0.7859375
0.141	-0.596875
0.142	-0.3203125
0.143	0
0.144	0.31875
0.145	0.45
0.146	0.2453125
0.147	-0.1265625
0.148	-0.3375
0.149	-0.2875
0.15	-0.1234375
0.151	0.0171875
0.152	0.13125
0.153	0.25625
0.154	0.321875
0.155	0.178125
0.156	-0.1828125
0.157	-0.5515625
0.158	-0.6890625
0.159	-0.4890625
0.16	-0.0640625
0.161	0.3515625
0.162	0.6
0.163	0.6203125
0.164	0.39375
0.165	-0.015625
0.166	-0.3984375
0.167	-0.515625
0.168	-0.2859375
0.169	0.1421875
0.17	0.5484375
0.171	0.828125
0.172	0.896875
0.173	0.6421875
0.174	0.1328125
0.175	-0.328125
0.176	-0.48125
0.177	-0.3171875
0.178	-0.0015625
0.179	0.3171875
0.18	0.56875
0.181	0.6390625
0.182	0.378125
0.183	-0.13125
0.184	-0.5484375
0.185	-0.6125
0.186	-0.3828125
0.187	-0.1
0.188	0.0984375
0.189	0.240625
0.19	0.3484375
0.191	0.3046875
0.192	0.03125
0.193	-0.3234375
0.194	-0.5265625
0.195	-0.4625
0.196	-0.1953125
0.197	0.1203125
0.198	0.375
0.199	0.5203125
0.2	0.475
0.201	0.1859375
0.202	-0.2203125
0.203	-0.5015625
0.204	-0.4671875
0.205	-0.1015625
0.206	0.4390625
0.207	0.946875
0.208	1.20625
0.209	1.020313
0.21	0.4375
0.211	-0.1609375
0.212	-0.390625
0.213	-0.2109375
0.214	0.125
0.215	0.4
0.216	0.5875
0.217	0.6796875
0.218	0.54375
0.219	0.1125
0.22	-0.396875
0.221	-0.6625
0.222	-0.5734375
0.223	-0.2953125
0.224	-0.0546875
0.225	0.0703125
0.226	0.1421875
0.227	0.1765625
0.228	0.0875
0.229	-0.1828125
0.23	-0.5125
0.231	-0.665625
0.232	-0.5
0.233	-0.1
0.234	0.325
0.235	0.596875
0.236	0.609375
0.237	0.33125
0.238	-0.115625
0.239	-0.503125
0.24	-0.6421875
0.241	-0.4625
0.242	-0.040625
0.243	0.4765625
0.244	0.9171875
0.245	1.053125
0.246	0.7140625
0.247	0.0671875
0.248	-0.45
0.249	-0.5390625
0.25	-0.2796875
0.251	0.0640625
0.252	0.353125
0.253	0.5921875
0.254	0.7
0.255	0.4828125
0.256	-0.0234375
0.257	-0.4875
0.258	-0.6390625
0.259	-0.4796875
0.26	-0.1921875
0.261	0.053125
0.262	0.175
0.263	0.1625
0.264	0.01875
0.265	-0.2171875
0.266	-0.4375
0.267	-0.5203125
0.268	-0.3953125
0.269	-0.0984375
0.27	0.24375
0.271	0.4859375
0.272	0.528125
0.273	0.33125
0.274	-0.0421875
0.275	-0.4328125
0.276	-0.6625
0.277	-0.6078125
0.278	-0.2640625
0.279	0.24375
0.28	0.725
0.281	0.953125
0.282	0.725
0.283	0.096875
0.284	-0.5078125
0.285	-0.6859375
0.286	-0.421875
0.287	-0.0046875
0.288	0.3375
0.289	0.5796875
0.29	0.70625
0.291	0.571875
0.292	0.134375
0.293	-0.346875
0.294	-0.5640625
0.295	-0.465625
0.296	-0.1984375
0.297	0.0875
0.298	0.303125
0.299	0.3875
0.3	0.28125
0.301	-0.0109375
0.302	-0.365625
0.303	-0.603125
0.304	-0.590625
0.305	-0.3109375
0.306	0.1078125
0.307	0.4828125
0.308	0.678125
0.309	0.60625
0.31	0.2875
0.311	-0.1234375
0.312	-0.4140625
0.313	-0.4640625
0.314	-0.271875
0.315	0.0734375
0.316	0.471875
0.317	0.8
0.318	0.8328125
0.319	0.4390625
0.32	-0.15625
0.321	-0.534375
0.322	-0.484375
0.323	-0.1484375
0.324	0.2125
0.325	0.4875
0.326	0.6625
0.327	0.628125
0.328	0.265625
0.329	-0.2703125
0.33	-0.6265625
0.331	-0.6171875
0.332	-0.340625
0.333	-0.0171875
0.334	0.215625
0.335	0.340625
0.336	0.3296875
0.337	0.128125
0.338	-0.2046875
0.339	-0.5
0.34	-0.603125
0.341	-0.459375
0.342	-0.1296875
0.343	0.2359375
0.344	0.4953125
0.345	0.553125
0.346	0.3515625
0.347	-0.05625
0.348	-0.4640625
0.349	-0.6484375
0.35	-0.49375
0.351	-0.0625
0.352	0.4625
0.353	0.896875
0.354	1.032813
0.355	0.703125
0.356	0.046875
0.357	-0.503125
0.358	-0.625
0.359	-0.3796875
0.36	-0.0234375
0.361	0.2859375
0.362	0.5265625
0.363	0.63125
0.364	0.45
0.365	-0.01875
0.366	-0.496875
0.367	-0.678125
0.368	-0.5046875
0.369	-0.15625
0.37	0.134375
0.371	0.2671875
0.372	0.2703125
0.373	0.1625
0.374	-0.084375
0.375	-0.4
0.376	-0.5890625
0.377	-0.5015625
0.378	-0.159375
0.379	0.2515625
0.38	0.540625
0.381	0.6265625
0.382	0.4796875
0.383	0.1171875
0.384	-0.3328125
0.385	-0.64375
0.386	-0.646875
0.387	-0.371875
0.388	0.0078125
0.389	0.365625
0.39	0.6125
0.391	0.5734375
0.392	0.1796875
0.393	-0.3265625
0.394	-0.6015625
0.395	-0.55625
0.396	-0.3578125
0.397	-0.1484375
0.398	0.096875
0.399	0.35
0.4	0.3953125
0.401	0.084375
0.402	-0.3859375
0.403	-0.6578125
0.404	-0.575
0.405	-0.25625
0.406	0.0875
0.407	0.315625
0.408	0.396875
0.409	0.3359375
0.41	0.1140625
0.411	-0.21875
0.412	-0.5015625
0.413	-0.54375
0.414	-0.290625
0.415	0.121875
0.416	0.4859375
0.417	0.6671875
0.418	0.60625
0.419	0.31875
0.42	-0.0703125
0.421	-0.3953125
0.422	-0.5109375
0.423	-0.3421875
0.424	0.0484375
0.425	0.4953125
0.426	0.83125
0.427	0.9
0.428	0.6234375
0.429	0.1546875
0.43	-0.2125
0.431	-0.3109375
0.432	-0.1796875
0.433	0.046875
0.434	0.2828125
0.435	0.478125
0.436	0.515625
0.437	0.2546875
0.438	-0.2359375
0.439	-0.6546875
0.44	-0.73125
0.441	-0.4578125
0.442	-0.034375
0.443	0.3015625
0.444	0.428125
0.445	0.3765625
0.446	0.2140625
0.447	-0.028125
0.448	-0.3046875
0.449	-0.4875
0.45	-0.421875
0.451	-0.0796875
0.452	0.3703125
0.453	0.6984375
0.454	0.7375
0.455	0.4375
0.456	-0.0671875
0.457	-0.509375
0.458	-0.64375
0.459	-0.421875
0.46	-0.0078125
0.461	0.3890625
0.462	0.671875
0.463	0.765625
0.464	0.5484375
0.465	0.0625
0.466	-0.36875
0.467	-0.453125
0.468	-0.2265625
0.469	0.0796875
0.47	0.3125
0.471	0.48125
0.472	0.5859375
0.473	0.4796875
0.474	0.078125
0.475	-0.4046875
0.476	-0.6359375
0.477	-0.496875
0.478	-0.1203125
0.479	0.2703125
0.48	0.496875
0.481	0.4890625
0.482	0.271875
0.483	-0.071875
0.484	-0.4296875
0.485	-0.671875
0.486	-0.6921875
0.487	-0.4671875
0.488	-0.11875
0.489	0.18125
0.49	0.3421875
0.491	0.3203125
0.492	0.08125
0.493	-0.290625
0.494	-0.6015625
0.495	-0.7015625
0.496	-0.55625
0.497	-0.2203125
0.498	0.2234375
0.499	0.628125
0.5	0.7421875
0.501	0.4328125
0.502	-0.0625
0.503	-0.353125
0.504	-0.3
0.505	-0.05625
0.506	0.20625
0.507	0.4515625
0.508	0.65
0.509	0.6453125
0.51	0.2921875
0.511	-0.2796875
0.512	-0.715625
0.513	-0.7765625
0.514	-0.5140625
0.515	-0.15
0.516	0.1359375
0.517	0.30625
0.518	0.3578125
0.519	0.2359375
0.52	-0.059375
0.521	-0.3390625
0.522	-0.3828125
0.523	-0.165625
0.524	0.125
0.525	0.31875
0.526	0.39375
0.527	0.375
0.528	0.221875
0.529	-0.0703125
0.53	-0.38125
0.531	-0.5484375
0.532	-0.4703125
0.533	-0.1625
0.534	0.2578125
0.535	0.65
0.536	0.8328125
0.537	0.6328125
0.538	0.1359375
0.539	-0.2875
0.54	-0.3828125
0.541	-0.2296875
0.542	-0.0296875
0.543	0.165625
0.544	0.403125
0.545	0.578125
0.546	0.440625
0.547	-0.0328125
0.548	-0.5015625
0.549	-0.615625
0.55	-0.3578125
0.551	0.0296875
0.552	0.3171875
0.553	0.4421875
0.554	0.425
0.555	0.25625
0.556	-0.071875
0.557	-0.440625
0.558	-0.6421875
0.559	-0.5234375
0.56	-0.1234375
0.561	0.334375
0.562	0.640625
0.563	0.728125
0.564	0.5796875
0.565	0.2203125
0.566	-0.1953125
0.567	-0.4421875
0.568	-0.3921875
0.569	-0.0828125
0.57	0.325
0.571	0.6875
0.572	0.875
0.573	0.728125
0.574	0.2359375
0.575	-0.3125
0.576	-0.5640625
0.577	-0.4421875
0.578	-0.134375
0.579	0.171875
0.58	0.4421875
0.581	0.6625
0.582	0.6671875
0.583	0.3125
0.584	-0.225
0.585	-0.6
0.586	-0.6375
0.587	-0.3921875
0.588	-0.0296875
0.589	0.284375
0.59	0.4375
0.591	0.3734375
0.592	0.0859375
0.593	-0.3109375
0.594	-0.59375
0.595	-0.571875
0.596	-0.21875
0.597	0.2875
0.598	0.6890625
0.599	0.8265625
0.6	0.6609375
0.601	0.240625
0.602	-0.2625
0.603	-0.6171875
0.604	-0.6734375
0.605	-0.4296875
0.606	-0.0078125
0.607	0.4546875
0.608	0.8234375
0.609	0.903125
0.61	0.5453125
0.611	-0.0703125
0.612	-0.5078125
0.613	-0.5125
0.614	-0.2203125
0.615	0.1046875
0.616	0.3625
0.617	0.56875
0.618	0.6328125
0.619	0.3890625
0.62	-0.096875
0.621	-0.5
0.622	-0.565625
0.623	-0.35
0.624	-0.075
0.625	0.1078125
0.626	0.190625
0.627	0.2
0.628	0.1
0.629	-0.134375
0.63	-0.40625
0.631	-0.5515625
0.632	-0.45
0.633	-0.125
0.634	0.26875
0.635	0.5578125
0.636	0.6296875
0.637	0.434375
0.638	0.0359375
0.639	-0.36875
0.64	-0.56875
0.641	-0.4828125
0.642	-0.1796875
0.643	0.209375
0.644	0.575
0.645	0.7953125
0.646	0.684375
0.647	0.203125
0.648	-0.36875
0.649	-0.678125
0.65	-0.6109375
0.651	-0.3078125
0.652	0.040625
0.653	0.334375
0.654	0.4921875
0.655	0.375
0.656	-0.03125
0.657	-0.459375
0.658	-0.578125
0.659	-0.340625
0.66	0.021875
0.661	0.284375
0.662	0.396875
0.663	0.39375
0.664	0.26875
0.665	-0.009375
0.666	-0.346875
0.667	-0.55625
0.668	-0.503125
0.669	-0.2078125
0.67	0.1796875
0.671	0.4875
0.672	0.6328125
0.673	0.565625
0.674	0.259375
0.675	-0.203125
0.676	-0.596875
0.677	-0.690625
0.678	-0.4203125
0.679	0.05625
0.68	0.528125
0.681	0.840625
0.682	0.8390625
0.683	0.4328125
0.684	-0.1859375
0.685	-0.6296875
0.686	-0.68125
0.687	-0.4421875
0.688	-0.109375
0.689	0.234375
0.69	0.5640625
0.691	0.709375
0.692	0.4734375
0.693	-0.0328125
0.694	-0.428125
0.695	-0.475
0.696	-0.2625
0.697	-0.0109375
0.698	0.1375
0.699	0.1875
0.7	0.165625
0.701	0.015625
0.702	-0.2828125
0.703	-0.6
0.704	-0.7421875
0.705	-0.6
0.706	-0.228125
0.707	0.1921875
0.708	0.4875
0.709	0.5484375
0.71	0.3171875
0.711	-0.1421875
0.712	-0.596875
0.713	-0.7765625
0.714	-0.5921875
0.715	-0.1765625
0.716	0.2703125
0.717	0.6046875
0.718	0.6859375
0.719	0.4
0.72	-0.1359375
0.721	-0.5640625
0.722	-0.6375
0.723	-0.3984375
0.724	-0.0171875
0.725	0.3890625
0.726	0.7390625
