Interval=	0.001 s
ExcelDateTime=	4.5384543612637142e+004	4/2/2024 13:02:48.13185
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	10.000 V
UnitName=	L/min
TopValue=	50.00
BottomValue=	-50.00
0	0.453125
0.001	0.8296875
0.002	0.85625
0.003	0.428125
0.004	-0.246875
0.005	-0.7375
0.006	-0.771875
0.007	-0.4546875
0.008	-0.0828125
0.009	0.2046875
0.01	0.50625
0.011	0.8078125
0.012	0.8171875
0.013	0.3796875
0.014	-0.209375
0.015	-0.5453125
0.016	-0.475
0.017	-0.1171875
0.018	0.2859375
0.019	0.5703125
0.02	0.6828125
0.021	0.55625
0.022	0.1734375
0.023	-0.290625
0.024	-0.540625
0.025	-0.3875
0.026	0.090625
0.027	0.6203125
0.028	0.9625
0.029	1.046875
0.03	0.8546875
0.031	0.4015625
0.032	-0.15
0.033	-0.51875
0.034	-0.509375
0.035	-0.15
0.036	0.3671875
0.037	0.765625
0.038	0.7609375
0.039	0.278125
0.04	-0.3953125
0.041	-0.8328125
0.042	-0.8390625
0.043	-0.54375
0.044	-0.1640625
0.045	0.2484375
0.046	0.765625
0.047	1.265625
0.048	1.348438
0.049	0.8171875
0.05	0.0328125
0.051	-0.4640625
0.052	-0.4796875
0.053	-0.165625
0.054	0.2515625
0.055	0.5265625
0.056	0.4359375
0.057	0.0203125
0.058	-0.4203125
0.059	-0.6765625
0.06	-0.75
0.061	-0.640625
0.062	-0.3015625
0.063	0.1921875
0.064	0.621875
0.065	0.80625
0.066	0.6671875
0.067	0.2453125
0.068	-0.275
0.069	-0.6296875
0.07	-0.6109375
0.071	-0.215625
0.072	0.328125
0.073	0.76875
0.074	0.9515625
0.075	0.76875
0.076	0.2515625
0.077	-0.29375
0.078	-0.5375
0.079	-0.4171875
0.08	-0.1125
0.081	0.128125
0.082	0.20625
0.083	0.2265625
0.084	0.2171875
0.085	0.0234375
0.086	-0.3421875
0.087	-0.5875
0.088	-0.425
0.089	0.215625
0.09	1.104688
0.091	1.7625
0.092	1.826563
0.093	1.35
0.094	0.6390625
0.095	-0.034375
0.096	-0.4671875
0.097	-0.5046875
0.098	-0.2046875
0.099	0.121875
0.1	0.246875
0.101	0.2578125
0.102	0.2765625
0.103	0.203125
0.104	-0.065625
0.105	-0.44375
0.106	-0.721875
0.107	-0.6859375
0.108	-0.2375
0.109	0.475
0.11	1.090625
0.111	1.267188
0.112	0.89375
0.113	0.2640625
0.114	-0.0703125
0.115	0.096875
0.116	0.425
0.117	0.5453125
0.118	0.4875
0.119	0.471875
0.12	0.50625
0.121	0.3734375
0.122	-0.0015625
0.123	-0.3203125
0.124	-0.234375
0.125	0.20625
0.126	0.603125
0.127	0.6828125
0.128	0.528125
0.129	0.325
0.13	0.0890625
0.131	-0.2625
0.132	-0.7359375
0.133	-1.170313
0.134	-1.292188
0.135	-0.9515625
0.136	-0.3265625
0.137	0.2421875
0.138	0.5421875
0.139	0.4953125
0.14	0.090625
0.141	-0.5046875
0.142	-0.9125
0.143	-0.8125
0.144	-0.26875
0.145	0.365625
0.146	0.8046875
0.147	0.91875
0.148	0.546875
0.149	-0.3171875
0.15	-1.178125
0.151	-1.398438
0.152	-0.925
0.153	-0.2578125
0.154	0.1875
0.155	0.4296875
0.156	0.7078125
0.157	1.032813
0.158	1.114063
0.159	0.8078125
0.16	0.325
0.161	-0.025
0.162	-0.0921875
0.163	0.10625
0.164	0.4609375
0.165	0.7359375
0.166	0.6484375
0.167	0.1765625
0.168	-0.39375
0.169	-0.75
0.17	-0.7359375
0.171	-0.3796875
0.172	0.115625
0.173	0.5046875
0.174	0.7
0.175	0.6984375
0.176	0.45625
0.177	0.009375
0.178	-0.428125
0.179	-0.625
0.18	-0.5015625
0.181	-0.146875
0.182	0.2984375
0.183	0.7359375
0.184	0.98125
0.185	0.7734375
0.186	0.1609375
0.187	-0.4109375
0.188	-0.5546875
0.189	-0.2625
0.19	0.2421875
0.191	0.803125
0.192	1.307813
0.193	1.475
0.194	1.060938
0.195	0.25625
0.196	-0.421875
0.197	-0.653125
0.198	-0.503125
0.199	-0.165625
0.2	0.1984375
0.201	0.4359375
0.202	0.4453125
0.203	0.2234375
0.204	-0.134375
0.205	-0.453125
0.206	-0.546875
0.207	-0.3484375
0.208	0.046875
0.209	0.4453125
0.21	0.68125
0.211	0.6921875
0.212	0.4703125
0.213	0.09375
0.214	-0.2609375
0.215	-0.45625
0.216	-0.43125
0.217	-0.16875
0.218	0.2484375
0.219	0.646875
0.22	0.8453125
0.221	0.6859375
0.222	0.234375
0.223	-0.171875
0.224	-0.303125
0.225	-0.2359375
0.226	-0.090625
0.227	0.125
0.228	0.4015625
0.229	0.6359375
0.23	0.6671875
0.231	0.4453125
0.232	0.1296875
0.233	-0.1
0.234	-0.190625
0.235	-0.1375
0.236	0.05
0.237	0.296875
0.238	0.50625
0.239	0.5921875
0.24	0.5078125
0.241	0.26875
0.242	-0.0171875
0.243	-0.1578125
0.244	-0.01875
0.245	0.290625
0.246	0.54375
0.247	0.65
0.248	0.6265625
0.249	0.4453125
0.25	0.0875
0.251	-0.3109375
0.252	-0.5171875
0.253	-0.3734375
0.254	0.06875
0.255	0.584375
0.256	0.871875
0.257	0.6609375
0.258	-0.0265625
0.259	-0.728125
0.26	-0.9859375
0.261	-0.8
0.262	-0.45
0.263	-0.08125
0.264	0.3671875
0.265	0.809375
0.266	0.89375
0.267	0.4234375
0.268	-0.321875
0.269	-0.8546875
0.27	-0.8953125
0.271	-0.49375
0.272	0.0828125
0.273	0.559375
0.274	0.8046875
0.275	0.775
0.276	0.459375
0.277	-0.0546875
0.278	-0.565625
0.279	-0.8203125
0.28	-0.6625
0.281	-0.23125
0.282	0.153125
0.283	0.365625
0.284	0.4703125
0.285	0.421875
0.286	0.1234375
0.287	-0.3203125
0.288	-0.6421875
0.289	-0.6453125
0.29	-0.3296875
0.291	0.1859375
0.292	0.7203125
0.293	1
0.294	0.7953125
0.295	0.215625
0.296	-0.3234375
0.297	-0.54375
0.298	-0.4765625
0.299	-0.2359375
0.3	0.1125
0.301	0.496875
0.302	0.7296875
0.303	0.578125
0.304	0.034375
0.305	-0.559375
0.306	-0.803125
0.307	-0.60625
0.308	-0.196875
0.309	0.146875
0.31	0.3109375
0.311	0.309375
0.312	0.18125
0.313	0.0234375
0.314	-0.0609375
0.315	-0.046875
0.316	0.05625
0.317	0.2453125
0.318	0.453125
0.319	0.5734375
0.32	0.546875
0.321	0.328125
0.322	-0.0421875
0.323	-0.3921875
0.324	-0.5546875
0.325	-0.478125
0.326	-0.2203125
0.327	0.0734375
0.328	0.303125
0.329	0.446875
0.33	0.35625
0.331	-0.1609375
0.332	-0.9203125
0.333	-1.38125
0.334	-1.24375
0.335	-0.7453125
0.336	-0.3
0.337	-0.0046875
0.338	0.315625
0.339	0.5875
0.34	0.5078125
0.341	0.071875
0.342	-0.365625
0.343	-0.496875
0.344	-0.275
0.345	0.1546875
0.346	0.5234375
0.347	0.60625
0.348	0.38125
0.349	-0.0390625
0.35	-0.521875
0.351	-0.9296875
0.352	-1.145313
0.353	-1.029688
0.354	-0.5296875
0.355	0.1609375
0.356	0.7046875
0.357	0.865625
0.358	0.6015625
0.359	0.0515625
0.36	-0.5125
0.361	-0.8140625
0.362	-0.7359375
0.363	-0.36875
0.364	0.1046875
0.365	0.5375
0.366	0.74375
0.367	0.5484375
0.368	0.0609375
0.369	-0.303125
0.37	-0.2515625
0.371	0.096875
0.372	0.40625
0.373	0.5328125
0.374	0.5765625
0.375	0.590625
0.376	0.465625
0.377	0.1640625
0.378	-0.1484375
0.379	-0.2890625
0.38	-0.2265625
0.381	-0.0515625
0.382	0.115625
0.383	0.1734375
0.384	0.0765625
0.385	-0.153125
0.386	-0.4125
0.387	-0.596875
0.388	-0.6375
0.389	-0.484375
0.39	-0.1453125
0.391	0.21875
0.392	0.3515625
0.393	0.115625
0.394	-0.328125
0.395	-0.671875
0.396	-0.7796875
0.397	-0.715625
0.398	-0.534375
0.399	-0.2328125
0.4	0.1578125
0.401	0.53125
0.402	0.7078125
0.403	0.528125
0.404	0.0453125
0.405	-0.4453125
0.406	-0.6515625
0.407	-0.5515625
0.408	-0.375
0.409	-0.296875
0.41	-0.2109375
0.411	0.021875
0.412	0.221875
0.413	0.1234375
0.414	-0.1859375
0.415	-0.3734375
0.416	-0.2671875
0.417	-0.0046875
0.418	0.1421875
0.419	0.1046875
0.42	0.1125
0.421	0.25625
0.422	0.275
0.423	0.009375
0.424	-0.33125
0.425	-0.409375
0.426	-0.146875
0.427	0.1703125
0.428	0.2984375
0.429	0.2984375
0.43	0.2546875
0.431	0.090625
0.432	-0.24375
0.433	-0.6609375
0.434	-1.020313
0.435	-1.142188
0.436	-0.8375
0.437	-0.14375
0.438	0.5640625
0.439	0.8296875
0.44	0.5078125
0.441	-0.0890625
0.442	-0.4921875
0.443	-0.5265625
0.444	-0.353125
0.445	-0.1671875
0.446	0.0078125
0.447	0.2296875
0.448	0.3859375
0.449	0.246875
0.45	-0.178125
0.451	-0.5515625
0.452	-0.5453125
0.453	-0.165625
0.454	0.278125
0.455	0.5171875
0.456	0.5453125
0.457	0.446875
0.458	0.196875
0.459	-0.275
0.46	-0.8546875
0.461	-1.209375
0.462	-1.040625
0.463	-0.41875
0.464	0.25625
0.465	0.6421875
0.466	0.64375
0.467	0.2984375
0.468	-0.2078125
0.469	-0.496875
0.47	-0.325
0.471	0.125
0.472	0.5109375
0.473	0.70625
0.474	0.8015625
0.475	0.81875
0.476	0.59375
0.477	0.0109375
0.478	-0.70625
0.479	-1.121875
0.48	-1.0125
0.481	-0.5375
0.482	0.0046875
0.483	0.421875
0.484	0.584375
0.485	0.359375
0.486	-0.1765625
0.487	-0.665625
0.488	-0.8078125
0.489	-0.5984375
0.49	-0.23125
0.491	0.09375
0.492	0.2890625
0.493	0.3421875
0.494	0.2078125
0.495	-0.1296875
0.496	-0.5265625
0.497	-0.765625
0.498	-0.7109375
0.499	-0.3875
0.5	0.0078125
0.501	0.271875
0.502	0.33125
0.503	0.1734375
0.504	-0.165625
0.505	-0.528125
0.506	-0.721875
0.507	-0.65
0.508	-0.34375
0.509	0.03125
0.51	0.28125
0.511	0.3515625
0.512	0.25
0.513	-0.0375
0.514	-0.4015625
0.515	-0.5921875
0.516	-0.453125
0.517	-0.05
0.518	0.371875
0.519	0.578125
0.52	0.5171875
0.521	0.26875
0.522	-0.090625
0.523	-0.4375
0.524	-0.6015625
0.525	-0.5125
0.526	-0.20625
0.527	0.28125
0.528	0.7984375
0.529	1.082813
0.53	0.9703125
0.531	0.4984375
0.532	-0.125
0.533	-0.6234375
0.534	-0.81875
0.535	-0.6796875
0.536	-0.2796875
0.537	0.2125
0.538	0.565625
0.539	0.5984375
0.54	0.29375
0.541	-0.1625
0.542	-0.4984375
0.543	-0.5640625
0.544	-0.365625
0.545	0.00625
0.546	0.4375
0.547	0.7921875
0.548	0.896875
0.549	0.5890625
0.55	-0.0765625
0.551	-0.7515625
0.552	-1.045313
0.553	-0.8359375
0.554	-0.325
0.555	0.196875
0.556	0.6078125
0.557	0.86875
0.558	0.8578125
0.559	0.49375
0.56	-0.084375
0.561	-0.565625
0.562	-0.6953125
0.563	-0.4671875
0.564	-0.0984375
0.565	0.184375
0.566	0.2890625
0.567	0.2
0.568	-0.05625
0.569	-0.3640625
0.57	-0.5609375
0.571	-0.525
0.572	-0.2546875
0.573	0.1296875
0.574	0.4828125
0.575	0.690625
0.576	0.5953125
0.577	0.0859375
0.578	-0.6296875
0.579	-1.08125
0.58	-0.978125
0.581	-0.4421875
0.582	0.184375
0.583	0.671875
0.584	0.940625
0.585	0.8875
0.586	0.4953125
0.587	0.0203125
0.588	-0.2359375
0.589	-0.215625
0.59	-0.05625
0.591	0.0828125
0.592	0.1796875
0.593	0.3109375
0.594	0.3796875
0.595	0.1421875
0.596	-0.34375
0.597	-0.6953125
0.598	-0.6703125
0.599	-0.3875
