Interval=	0.001 s
ExcelDateTime=	4.5384553195609864e+004	4/2/2024 13:16:36.100692
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	10.000 V
UnitName=	L/min
TopValue=	50.00
BottomValue=	-50.00
0	-0.5875
0.001	-0.6359375
0.002	-0.5859375
0.003	-0.3015625
0.004	0.06875
0.005	0.1890625
0.006	-0.0171875
0.007	-0.234375
0.008	-0.1390625
0.009	0.2671875
0.01	0.7328125
0.011	1.017188
0.012	1.045313
0.013	0.859375
0.014	0.4953125
0.015	-0.0015625
0.016	-0.46875
0.017	-0.69375
0.018	-0.584375
0.019	-0.2515625
0.02	0.0875
0.021	0.3375
0.022	0.5703125
0.023	0.8390625
0.024	1.032813
0.025	0.9515625
0.026	0.56875
0.027	0.1296875
0.028	-0.0875
0.029	-0.071875
0.03	-0.0234375
0.031	-0.0703125
0.032	-0.2328125
0.033	-0.4828125
0.034	-0.6703125
0.035	-0.6453125
0.036	-0.4265625
0.037	-0.1328125
0.038	0.1953125
0.039	0.5953125
0.04	0.9578125
0.041	0.965625
0.042	0.4859375
0.043	-0.1671875
0.044	-0.55625
0.045	-0.5234375
0.046	-0.20625
0.047	0.171875
0.048	0.4671875
0.049	0.6078125
0.05	0.5078125
0.051	0.1484375
0.052	-0.3265625
0.053	-0.753125
0.054	-1.01875
0.055	-0.9734375
0.056	-0.55625
0.057	0.0375
0.058	0.5
0.059	0.5796875
0.06	0.2296875
0.061	-0.2890625
0.062	-0.5796875
0.063	-0.4546875
0.064	-0.0609375
0.065	0.3171875
0.066	0.515625
0.067	0.503125
0.068	0.271875
0.069	-0.1265625
0.07	-0.5140625
0.071	-0.7
0.072	-0.6234375
0.073	-0.3546875
0.074	-0.0078125
0.075	0.36875
0.076	0.7375
0.077	0.8890625
0.078	0.5859375
0.079	-0.03125
0.08	-0.509375
0.081	-0.5828125
0.082	-0.3359375
0.083	0.025
0.084	0.3671875
0.085	0.6421875
0.086	0.753125
0.087	0.546875
0.088	0.065625
0.089	-0.396875
0.09	-0.575
0.091	-0.428125
0.092	-0.034375
0.093	0.4828125
0.094	0.90625
0.095	0.9875
0.096	0.621875
0.097	-0.0046875
0.098	-0.4515625
