Interval=	0.001 s
ExcelDateTime=	4.5349688401868756e+004	2/27/2024 16:31:17.921461
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	10.000 V
UnitName=	L/min
TopValue=	50.00
BottomValue=	-50.00
0	0.3484375
0.001	0.459375
0.002	0.465625
0.003	0.2359375
0.004	-0.246875
0.005	-0.7234375
0.006	-0.915625
0.007	-0.8125
0.008	-0.5296875
0.009	-0.1078125
0.01	0.3734375
0.011	0.68125
0.012	0.5859375
0.013	0.1203125
0.014	-0.378125
0.015	-0.575
0.016	-0.453125
0.017	-0.2859375
0.018	-0.278125
0.019	-0.321875
0.02	-0.284375
0.021	-0.2859375
0.022	-0.4671875
0.023	-0.7609375
0.024	-0.9640625
0.025	-0.90625
0.026	-0.5671875
0.027	-0.1109375
0.028	0.225
0.029	0.275
0.03	-0.0015625
0.031	-0.4765625
0.032	-0.884375
0.033	-1.001563
0.034	-0.8296875
0.035	-0.509375
0.036	-0.1375
0.037	0.25
0.038	0.54375
0.039	0.5296875
0.04	0.1203125
0.041	-0.4671875
0.042	-0.8421875
0.043	-0.7828125
0.044	-0.3703125
0.045	0.134375
0.046	0.5140625
0.047	0.659375
0.048	0.478125
0.049	-0.015625
0.05	-0.5546875
0.051	-0.8203125
0.052	-0.740625
0.053	-0.440625
0.054	-0.0984375
0.055	0.15
0.056	0.2578125
0.057	0.2078125
0.058	-0.0734375
0.059	-0.5796875
0.06	-1.084375
0.061	-1.225
0.062	-0.8671875
0.063	-0.2375
0.064	0.3921875
0.065	0.8984375
0.066	1.095313
0.067	0.7796875
0.068	0.1125
0.069	-0.40625
0.07	-0.453125
0.071	-0.1546875
0.072	0.175
0.073	0.3890625
0.074	0.5203125
0.075	0.521875
0.076	0.2390625
0.077	-0.2734375
0.078	-0.6921875
0.079	-0.784375
0.08	-0.6046875
0.081	-0.3171875
0.082	0.0171875
0.083	0.375
0.084	0.5875
0.085	0.45
0.086	0.028125
0.087	-0.340625
0.088	-0.4171875
0.089	-0.2515625
0.09	0.0015625
0.091	0.2953125
0.092	0.625
0.093	0.8109375
0.094	0.5890625
0.095	-0.0015625
0.096	-0.5921875
0.097	-0.8484375
0.098	-0.7375
0.099	-0.409375
0.1	0.0125
0.101	0.4515625
0.102	0.7546875
0.103	0.709375
0.104	0.2875
0.105	-0.25625
0.106	-0.634375
0.107	-0.740625
0.108	-0.6015625
0.109	-0.2671875
0.11	0.1609375
0.111	0.4515625
0.112	0.36875
0.113	-0.0390625
0.114	-0.4359375
0.115	-0.5765625
0.116	-0.475
0.117	-0.2546875
0.118	0.03125
0.119	0.3671875
0.12	0.6390625
0.121	0.61875
0.122	0.228125
0.123	-0.2703125
0.124	-0.525
0.125	-0.46875
0.126	-0.3578125
0.127	-0.38125
0.128	-0.3578125
0.129	-0.0390625
0.13	0.340625
0.131	0.309375
0.132	-0.165625
0.133	-0.6515625
0.134	-0.784375
0.135	-0.5359375
0.136	-0.0484375
0.137	0.5453125
0.138	1.046875
0.139	1.134375
0.14	0.65625
0.141	-0.1171875
0.142	-0.7140625
0.143	-0.8703125
0.144	-0.621875
0.145	-0.1390625
0.146	0.421875
0.147	0.9046875
0.148	1.051563
0.149	0.6625
0.15	-0.0515625
0.151	-0.5640625
0.152	-0.5109375
0.153	0.05
0.154	0.7109375
0.155	1.057813
0.156	0.95625
0.157	0.475
0.158	-0.215625
0.159	-0.815625
0.16	-1.042188
0.161	-0.8671875
0.162	-0.446875
0.163	0.0453125
0.164	0.4859375
0.165	0.8046875
0.166	0.9296875
0.167	0.725
0.168	0.14375
0.169	-0.5125
0.17	-0.7859375
0.171	-0.515625
0.172	0.0453125
0.173	0.540625
0.174	0.8078125
0.175	0.853125
0.176	0.6453125
0.177	0.171875
0.178	-0.334375
0.179	-0.5375
0.18	-0.309375
0.181	0.23125
0.182	0.8625
0.183	1.325
0.184	1.353125
0.185	0.8359375
0.186	-0.0015625
0.187	-0.69375
0.188	-0.9640625
0.189	-0.8765625
0.19	-0.596875
0.191	-0.20625
0.192	0.2171875
0.193	0.475
0.194	0.3515625
0.195	-0.1046875
0.196	-0.553125
0.197	-0.68125
0.198	-0.46875
0.199	-0.1109375
0.2	0.2328125
0.201	0.5125
0.202	0.621875
0.203	0.434375
0.204	0
0.205	-0.3984375
0.206	-0.4984375
0.207	-0.3015625
0.208	-0.034375
0.209	0.1265625
0.21	0.184375
0.211	0.1546875
0.212	-0.0359375
0.213	-0.3953125
0.214	-0.778125
0.215	-1.029688
0.216	-1.059375
0.217	-0.7796875
0.218	-0.1953125
0.219	0.5
0.22	1.021875
0.221	1.126563
0.222	0.76875
0.223	0.203125
0.224	-0.2265625
