Interval=	0.001 s
ExcelDateTime=	4.5363639603889183e+004	3/12/2024 15:21:01.776025
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	10.000 V
UnitName=	L/min
TopValue=	50.00
BottomValue=	-50.00
0	0.2625
0.001	-0.2984375
0.002	-0.621875
0.003	-0.54375
0.004	-0.2171875
0.005	0.071875
0.006	0.2109375
0.007	0.3109375
0.008	0.425
0.009	0.4453125
0.01	0.3328125
0.011	0.1953125
0.012	0.10625
0.013	0.0703125
0.014	0.1
0.015	0.2078125
0.016	0.3875
0.017	0.5765625
0.018	0.646875
0.019	0.5578125
0.02	0.43125
0.021	0.3390625
0.022	0.246875
0.023	0.1953125
0.024	0.278125
0.025	0.4703125
0.026	0.615625
0.027	0.5
0.028	0.0359375
0.029	-0.575
0.03	-0.9515625
0.031	-0.840625
0.032	-0.3484375
0.033	0.228125
0.034	0.69375
0.035	1.015625
0.036	1.110938
0.037	0.853125
0.038	0.3171875
0.039	-0.175
0.04	-0.35625
0.041	-0.190625
0.042	0.1984375
0.043	0.6125
0.044	0.8265625
0.045	0.6609375
0.046	0.1234375
0.047	-0.4890625
0.048	-0.8046875
0.049	-0.6828125
0.05	-0.2609375
0.051	0.2296875
0.052	0.6140625
0.053	0.771875
0.054	0.6265625
0.055	0.2265625
0.056	-0.1984375
0.057	-0.428125
0.058	-0.4421875
0.059	-0.3078125
0.06	-0.0796875
0.061	0.203125
0.062	0.453125
0.063	0.496875
0.064	0.228125
0.065	-0.1875
0.066	-0.421875
0.067	-0.325
0.068	-0.028125
0.069	0.259375
0.07	0.403125
0.071	0.3
0.072	-0.06875
0.073	-0.5265625
0.074	-0.8375
0.075	-0.9078125
0.076	-0.7953125
0.077	-0.5796875
0.078	-0.2828125
0.079	0.0640625
0.08	0.3359375
0.081	0.31875
0.082	-0.1296875
0.083	-0.79375
0.084	-1.179688
0.085	-0.9984375
0.086	-0.425
0.087	0.15625
0.088	0.5078125
0.089	0.6296875
0.09	0.55
0.091	0.2640625
0.092	-0.1
0.093	-0.321875
0.094	-0.296875
0.095	-0.0953125
0.096	0.18125
0.097	0.4890625
0.098	0.753125
0.099	0.7828125
0.1	0.4453125
0.101	-0.121875
0.102	-0.5953125
0.103	-0.734375
0.104	-0.5234375
0.105	-0.1125
0.106	0.2890625
0.107	0.4671875
0.108	0.275
0.109	-0.2140625
0.11	-0.7546875
0.111	-1.157813
0.112	-1.310938
0.113	-1.126563
0.114	-0.675
0.115	-0.159375
0.116	0.271875
0.117	0.50625
0.118	0.40625
0.119	-0.0046875
0.12	-0.421875
0.121	-0.528125
0.122	-0.3296875
0.123	-0.1578125
0.124	-0.2359375
0.125	-0.334375
0.126	-0.196875
0.127	0
0.128	-0.00625
0.129	-0.153125
0.13	-0.2296875
0.131	-0.1203125
0.132	0.1921875
0.133	0.6265625
0.134	0.9921875
0.135	1.079688
0.136	0.8109375
0.137	0.3296875
0.138	-0.1046875
0.139	-0.3390625
0.14	-0.36875
0.141	-0.2125
0.142	0.1328125
0.143	0.60625
0.144	0.98125
0.145	0.95625
0.146	0.4625
0.147	-0.221875
0.148	-0.75
0.149	-0.95625
0.15	-0.84375
0.151	-0.5234375
0.152	-0.15
0.153	0.1640625
0.154	0.2875
0.155	0.121875
0.156	-0.240625
0.157	-0.59375
0.158	-0.7984375
0.159	-0.7546875
0.16	-0.4140625
0.161	0.1046875
0.162	0.5109375
0.163	0.5046875
0.164	0.0484375
0.165	-0.5171875
0.166	-0.7703125
0.167	-0.596875
0.168	-0.1390625
0.169	0.4328125
0.17	0.95625
0.171	1.278125
0.172	1.298438
0.173	0.9640625
0.174	0.3515625
0.175	-0.265625
0.176	-0.5890625
0.177	-0.509375
0.178	-0.1234375
0.179	0.2828125
0.18	0.384375
0.181	0.0875
0.182	-0.3859375
0.183	-0.725
0.184	-0.778125
0.185	-0.628125
0.186	-0.4328125
0.187	-0.26875
0.188	-0.06875
0.189	0.3140625
