Interval=	0.001 s
ExcelDateTime=	4.5363703824356075e+004	3/12/2024 16:53:30.424365
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	10.000 V
UnitName=	L/min
TopValue=	50.00
BottomValue=	-50.00
0	0.7359375
0.001	0.5625
0.002	0.303125
0.003	-0.0390625
0.004	-0.3546875
0.005	-0.44375
0.006	-0.203125
0.007	0.21875
0.008	0.5453125
0.009	0.6203125
0.01	0.4328125
0.011	0.078125
0.012	-0.28125
0.013	-0.484375
0.014	-0.4453125
0.015	-0.1765625
0.016	0.2015625
0.017	0.5578125
0.018	0.76875
0.019	0.715625
0.02	0.3890625
0.021	-0.034375
0.022	-0.3375
0.023	-0.446875
0.024	-0.4375
0.025	-0.38125
0.026	-0.25
0.027	-0.046875
0.028	0.0234375
0.029	-0.2140625
0.03	-0.6125
0.031	-0.859375
0.032	-0.8
0.033	-0.5015625
0.034	-0.1390625
0.035	0.1359375
0.036	0.2515625
0.037	0.2078125
0.038	0.053125
0.039	-0.1234375
0.04	-0.24375
0.041	-0.2484375
0.042	-0.090625
0.043	0.1796875
0.044	0.425
0.045	0.578125
0.046	0.5875
0.047	0.3546875
0.048	-0.1109375
0.049	-0.6171875
0.05	-0.959375
0.051	-0.9875
0.052	-0.6421875
0.053	-0.040625
0.054	0.5515625
0.055	0.8328125
0.056	0.61875
0.057	0.0515625
0.058	-0.4515625
0.059	-0.596875
0.06	-0.4265625
0.061	-0.165625
0.062	0.0296875
0.063	0.1765625
0.064	0.284375
0.065	0.215625
0.066	-0.0828125
0.067	-0.3859375
0.068	-0.43125
0.069	-0.209375
0.07	0.0890625
0.071	0.2625
0.072	0.23125
0.073	0.084375
0.074	-0.0640625
0.075	-0.1796875
0.076	-0.275
0.077	-0.31875
0.078	-0.234375
0.079	0.01875
0.08	0.3875
0.081	0.7421875
0.082	0.9125
0.083	0.690625
0.084	0.0296875
0.085	-0.7453125
0.086	-1.15
0.087	-0.9921875
0.088	-0.5296875
0.089	-0.115625
0.09	0.1828125
0.091	0.415625
0.092	0.4265625
0.093	0.05625
0.094	-0.4765625
0.095	-0.778125
0.096	-0.74375
0.097	-0.58125
0.098	-0.453125
0.099	-0.296875
0.1	-0.0265625
0.101	0.2109375
0.102	0.203125
0.103	-0.01875
0.104	-0.215625
0.105	-0.2078125
0.106	-0.028125
0.107	0.140625
0.108	0.1796875
0.109	0.1421875
0.11	0.0796875
0.111	-0.059375
0.112	-0.2921875
0.113	-0.5140625
0.114	-0.5140625
0.115	-0.1609375
0.116	0.3890625
0.117	0.79375
0.118	0.8421875
0.119	0.565625
0.12	0.0984375
0.121	-0.384375
0.122	-0.703125
0.123	-0.746875
0.124	-0.5046875
0.125	-0.046875
0.126	0.4796875
0.127	0.8671875
0.128	0.86875
0.129	0.3734375
0.13	-0.3453125
0.131	-0.796875
0.132	-0.7375
0.133	-0.340625
0.134	0.046875
0.135	0.259375
0.136	0.3703125
0.137	0.415625
0.138	0.2765625
0.139	-0.0546875
0.14	-0.3453125
0.141	-0.38125
0.142	-0.20625
0.143	-0.053125
0.144	-0.0421875
0.145	-0.0546875
0.146	0.01875
0.147	0.0609375
0.148	-0.0921875
0.149	-0.36875
0.15	-0.45
0.151	-0.0890625
0.152	0.5859375
0.153	1.151563
0.154	1.29375
0.155	1.048438
0.156	0.609375
0.157	0.10625
0.158	-0.3609375
0.159	-0.671875
0.16	-0.7140625
0.161	-0.4875
0.162	-0.1125
0.163	0.25625
0.164	0.5328125
0.165	0.6375
0.166	0.465625
0.167	0.046875
0.168	-0.3703125
0.169	-0.5296875
0.17	-0.3546875
0.171	0.0703125
0.172	0.571875
0.173	0.928125
0.174	0.9375
0.175	0.5546875
0.176	-0.021875
0.177	-0.5328125
0.178	-0.8078125
0.179	-0.7484375
0.18	-0.35625
0.181	0.1984375
0.182	0.6265625
0.183	0.6796875
0.184	0.325
0.185	-0.2140625
0.186	-0.6453125
0.187	-0.75
0.188	-0.459375
0.189	0.0859375
0.19	0.5765625
0.191	0.75
0.192	0.559375
0.193	0.190625
0.194	-0.1109375
0.195	-0.2140625
0.196	-0.115625
0.197	0.1109375
0.198	0.371875
0.199	0.6265625
0.2	0.840625
0.201	0.878125
0.202	0.609375
0.203	0.134375
0.204	-0.2578125
0.205	-0.3671875
0.206	-0.23125
0.207	0.0125
0.208	0.2921875
0.209	0.5671875
0.21	0.659375
0.211	0.39375
0.212	-0.0796875
0.213	-0.384375
0.214	-0.3546875
0.215	-0.178125
0.216	-0.0796875
0.217	-0.0234375
0.218	0.1484375
0.219	0.365625
0.22	0.365625
0.221	0.0703125
0.222	-0.3140625
0.223	-0.465625
0.224	-0.190625
0.225	0.35
0.226	0.76875
0.227	0.865625
0.228	0.728125
0.229	0.475
0.23	0.1609375
0.231	-0.1375
0.232	-0.296875
0.233	-0.209375
0.234	0.09375
0.235	0.4703125
0.236	0.775
0.237	0.86875
0.238	0.6015625
0.239	-0.0109375
0.24	-0.625
0.241	-0.803125
0.242	-0.453125
0.243	0.1203125
0.244	0.571875
0.245	0.7921875
0.246	0.765625
0.247	0.39375
0.248	-0.290625
0.249	-0.9015625
0.25	-1.026563
0.251	-0.65625
0.252	-0.13125
0.253	0.2421875
0.254	0.4046875
0.255	0.434375
0.256	0.3390625
0.257	0.059375
0.258	-0.321875
0.259	-0.4765625
0.26	-0.1671875
0.261	0.403125
0.262	0.8203125
0.263	0.9453125
0.264	0.896875
0.265	0.7140625
0.266	0.3453125
0.267	-0.1765625
0.268	-0.6796875
0.269	-0.9140625
0.27	-0.7078125
0.271	-0.1703125
0.272	0.3921875
0.273	0.7265625
0.274	0.6734375
0.275	0.225
0.276	-0.3296875
0.277	-0.6109375
0.278	-0.5
0.279	-0.18125
0.28	0.1265625
0.281	0.3625
0.282	0.51875
0.283	0.4796875
0.284	0.1515625
0.285	-0.3078125
0.286	-0.55625
0.287	-0.421875
0.288	-0.0890625
0.289	0.1265625
0.29	0.125
0.291	0.05
0.292	-0.0015625
0.293	-0.1390625
0.294	-0.4578125
0.295	-0.8
0.296	-0.8859375
0.297	-0.6203125
0.298	-0.1796875
0.299	0.2234375
0.3	0.5109375
0.301	0.628125
0.302	0.4859375
0.303	0.0953125
0.304	-0.3515625
0.305	-0.5921875
0.306	-0.4875
0.307	-0.1171875
0.308	0.325
0.309	0.6578125
0.31	0.725
0.311	0.4796875
0.312	0.0890625
0.313	-0.190625
0.314	-0.246875
0.315	-0.115625
0.316	0.115625
0.317	0.378125
0.318	0.6234375
0.319	0.7515625
0.32	0.6421875
0.321	0.3328125
0.322	0.0390625
0.323	-0.059375
0.324	0.0421875
0.325	0.2359375
0.326	0.4046875
0.327	0.49375
0.328	0.4609375
0.329	0.2453125
0.33	-0.1515625
0.331	-0.5921875
0.332	-0.8734375
0.333	-0.8265625
0.334	-0.4265625
0.335	0.1109375
0.336	0.45625
0.337	0.4546875
0.338	0.1828125
0.339	-0.171875
0.34	-0.446875
0.341	-0.5515625
0.342	-0.459375
0.343	-0.209375
0.344	0.1453125
0.345	0.5375
0.346	0.803125
0.347	0.721875
0.348	0.2578125
0.349	-0.353125
0.35	-0.840625
0.351	-1.051563
0.352	-0.9171875
0.353	-0.525
0.354	-0.1171875
0.355	0.1140625
0.356	0.084375
0.357	-0.18125
