Interval=	0.001 s
ExcelDateTime=	4.5363549851107797e+004	3/12/2024 13:11:47.135714
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	10.000 V
UnitName=	L/min
TopValue=	50.00
BottomValue=	-50.00
0	-0.6734375
0.001	-0.8796875
0.002	-0.784375
0.003	-0.403125
0.004	0.109375
0.005	0.56875
0.006	0.759375
0.007	0.503125
0.008	-0.034375
0.009	-0.3921875
0.01	-0.309375
0.011	0.040625
0.012	0.3375
0.013	0.446875
0.014	0.40625
0.015	0.2484375
0.016	-0.0171875
0.017	-0.3015625
0.018	-0.4859375
0.019	-0.5171875
0.02	-0.4
0.021	-0.121875
0.022	0.334375
0.023	0.8578125
0.024	1.135938
0.025	0.915625
0.026	0.3453125
0.027	-0.084375
0.028	-0.0109375
0.029	0.4234375
0.03	0.7734375
0.031	0.8015625
0.032	0.609375
0.033	0.353125
0.034	0.046875
0.035	-0.3125
0.036	-0.6
0.037	-0.6515625
0.038	-0.4109375
0.039	0.0234375
0.04	0.4609375
0.041	0.74375
0.042	0.759375
0.043	0.44375
0.044	-0.09375
0.045	-0.5796875
0.046	-0.821875
0.047	-0.8
0.048	-0.50625
0.049	0.05625
0.05	0.703125
0.051	1.046875
0.052	0.8140625
0.053	0.16875
0.054	-0.409375
0.055	-0.5578125
0.056	-0.2828125
0.057	0.1203125
0.058	0.3859375
0.059	0.484375
0.06	0.4765625
0.061	0.325
0.062	0.028125
0.063	-0.2234375
0.064	-0.225
0.065	-0.0140625
0.066	0.246875
0.067	0.4515625
0.068	0.5546875
0.069	0.50625
0.07	0.2578125
0.071	-0.1640625
0.072	-0.5734375
0.073	-0.69375
0.074	-0.4140625
0.075	0.0609375
0.076	0.496875
0.077	0.8484375
0.078	1.045313
0.079	0.8859375
0.08	0.36875
0.081	-0.146875
0.082	-0.3234375
0.083	-0.1921875
0.084	0.009375
0.085	0.1296875
0.086	0.1578125
0.087	0.1296875
0.088	0.0296875
0.089	-0.1640625
0.09	-0.340625
0.091	-0.3125
0.092	-0.053125
0.093	0.240625
0.094	0.3765625
0.095	0.353125
0.096	0.2515625
0.097	0.0765625
0.098	-0.2203125
0.099	-0.6140625
0.1	-0.9578125
0.101	-1.035938
0.102	-0.75
0.103	-0.2203125
0.104	0.3453125
0.105	0.815625
0.106	1.067188
0.107	0.91875
0.108	0.359375
0.109	-0.278125
0.11	-0.5796875
0.111	-0.4296875
0.112	-0.040625
0.113	0.28125
0.114	0.390625
0.115	0.2875
0.116	0.01875
0.117	-0.2953125
0.118	-0.4296875
0.119	-0.2234375
0.12	0.209375
0.121	0.5296875
0.122	0.496875
0.123	0.2140625
0.124	-0.040625
0.125	-0.2015625
0.126	-0.3828125
0.127	-0.590625
0.128	-0.69375
0.129	-0.5609375
0.13	-0.1703125
0.131	0.315625
0.132	0.6375
0.133	0.6
0.134	0.2171875
0.135	-0.2796875
0.136	-0.596875
0.137	-0.5984375
0.138	-0.3359375
0.139	0.0359375
0.14	0.3828125
0.141	0.678125
0.142	0.91875
0.143	0.9421875
0.144	0.6046875
0.145	0.071875
0.146	-0.3578125
0.147	-0.51875
0.148	-0.3828125
0.149	0.0125
0.15	0.5578125
0.151	0.9890625
0.152	0.96875
0.153	0.4203125
0.154	-0.296875
0.155	-0.703125
0.156	-0.6125
0.157	-0.20625
0.158	0.2453125
0.159	0.6359375
0.16	0.9359375
0.161	0.9609375
0.162	0.525
0.163	-0.2234375
0.164	-0.871875
0.165	-1.078125
0.166	-0.809375
0.167	-0.3609375
0.168	-0.0234375
0.169	0.1625
0.17	0.2234375
0.171	0.090625
0.172	-0.1703125
0.173	-0.275
0.174	-0.021875
0.175	0.4484375
0.176	0.8296875
0.177	0.9625
0.178	0.8609375
0.179	0.55625
0.18	0.1171875
0.181	-0.296875
0.182	-0.5390625
0.183	-0.5625
0.184	-0.3765625
0.185	-0.028125
0.186	0.3671875
0.187	0.60625
0.188	0.4984375
0.189	0.0546875
0.19	-0.4484375
0.191	-0.69375
0.192	-0.5734375
0.193	-0.2359375
0.194	0.1046875
0.195	0.334375
0.196	0.4015625
0.197	0.259375
0.198	-0.0515625
0.199	-0.359375
0.2	-0.4875
0.201	-0.403125
0.202	-0.2109375
0.203	-0.03125
0.204	0.1140625
0.205	0.2609375
0.206	0.3390625
0.207	0.1765625
0.208	-0.2203125
0.209	-0.5625
0.21	-0.575
0.211	-0.284375
0.212	0.0609375
0.213	0.2546875
0.214	0.2921875
0.215	0.26875
0.216	0.171875
0.217	-0.0828125
0.218	-0.45
0.219	-0.678125
0.22	-0.5171875
0.221	-0.003125
0.222	0.51875
0.223	0.7578125
0.224	0.696875
0.225	0.41875
0.226	0.01875
0.227	-0.3046875
0.228	-0.346875
0.229	-0.0828125
0.23	0.3015625
0.231	0.584375
0.232	0.66875
0.233	0.5515625
0.234	0.2046875
0.235	-0.3359375
0.236	-0.7328125
0.237	-0.525
0.238	0.246875
0.239	0.8875
0.24	0.8546875
0.241	0.371875
0.242	-0.028125
0.243	-0.1953125
0.244	-0.3203125
0.245	-0.5078125
0.246	-0.6015625
0.247	-0.40625
0.248	0.0625
0.249	0.575
0.25	0.8859375
0.251	0.90625
0.252	0.6375
0.253	0.134375
0.254	-0.3890625
0.255	-0.6203125
0.256	-0.4453125
0.257	-0.0203125
0.258	0.4265625
0.259	0.771875
0.26	0.9625
0.261	0.91875
0.262	0.55
0.263	-0.03125
0.264	-0.4890625
0.265	-0.565625
0.266	-0.2671875
0.267	0.240625
0.268	0.7375
0.269	1.021875
0.27	0.978125
0.271	0.63125
0.272	0.15625
0.273	-0.2078125
0.274	-0.3015625
0.275	-0.1234375
0.276	0.1640625
0.277	0.384375
0.278	0.48125
0.279	0.4234375
0.28	0.1109375
0.281	-0.475
0.282	-1.085938
0.283	-1.325
0.284	-1.001563
0.285	-0.346875
0.286	0.2265625
0.287	0.478125
0.288	0.3984375
0.289	0.0953125
0.29	-0.2671875
0.291	-0.496875
0.292	-0.48125
0.293	-0.2515625
0.294	0.0375
0.295	0.2515625
0.296	0.403125
0.297	0.5078125
0.298	0.440625
0.299	0.15625
0.3	-0.1703125
0.301	-0.3796875
0.302	-0.4375
0.303	-0.3234375
0.304	-0.0609375
0.305	0.2
0.306	0.2328125
0.307	-0.0609375
0.308	-0.5203125
0.309	-0.8328125
0.31	-0.7703125
0.311	-0.2859375
0.312	0.440625
0.313	1.051563
0.314	1.265625
0.315	1.026563
0.316	0.440625
0.317	-0.2203125
0.318	-0.6421875
0.319	-0.6953125
0.32	-0.4703125
0.321	-0.1625
0.322	0.0609375
0.323	0.196875
0.324	0.3078125
0.325	0.33125
0.326	0.190625
0.327	-0.0234375
0.328	-0.134375
0.329	-0.065625
0.33	0.1359375
0.331	0.384375
0.332	0.628125
0.333	0.809375
0.334	0.775
0.335	0.428125
0.336	-0.025
0.337	-0.25625
0.338	-0.178125
0.339	0.0515625
0.34	0.2625
0.341	0.4078125
0.342	0.484375
0.343	0.4125
0.344	0.1265625
0.345	-0.228125
0.346	-0.375
0.347	-0.221875
0.348	0.0703125
0.349	0.3609375
0.35	0.6578125
0.351	0.8765625
0.352	0.76875
0.353	0.2671875
0.354	-0.3609375
0.355	-0.8109375
0.356	-0.946875
0.357	-0.75
0.358	-0.328125
0.359	0.1234375
0.36	0.4765625
0.361	0.6421875
0.362	0.503125
0.363	0.1140625
0.364	-0.2515625
0.365	-0.384375
0.366	-0.2703125
0.367	0.0140625
0.368	0.3640625
0.369	0.6
0.37	0.528125
0.371	0.1265625
0.372	-0.3671875
0.373	-0.65
0.374	-0.603125
0.375	-0.2734375
0.376	0.215625
0.377	0.684375
0.378	0.9578125
0.379	0.959375
0.38	0.6953125
0.381	0.265625
0.382	-0.1359375
0.383	-0.3484375
0.384	-0.3828125
0.385	-0.3765625
0.386	-0.353125
0.387	-0.2109375
0.388	-0.0578125
0.389	-0.1265625
0.39	-0.3546875
0.391	-0.453125
0.392	-0.2609375
0.393	0.14375
0.394	0.4796875
0.395	0.5171875
0.396	0.3671875
0.397	0.2390625
0.398	0.06875
0.399	-0.303125
0.4	-0.746875
0.401	-0.9265625
0.402	-0.6828125
0.403	-0.225
0.404	0.075
0.405	0.103125
0.406	0.0546875
0.407	0
0.408	-0.1578125
0.409	-0.36875
0.41	-0.4796875
0.411	-0.45
0.412	-0.3109375
0.413	-0.103125
0.414	0.0625
0.415	0.0640625
0.416	-0.1453125
0.417	-0.471875
0.418	-0.684375
0.419	-0.5734375
0.42	-0.1765625
0.421	0.2328125
0.422	0.4390625
0.423	0.4125
0.424	0.1859375
0.425	-0.1734375
0.426	-0.509375
0.427	-0.640625
0.428	-0.496875
0.429	-0.221875
0.43	-0.0796875
0.431	-0.1140625
0.432	-0.1015625
