Interval=	0.001 s
ExcelDateTime=	4.5363669537111862e+004	3/12/2024 16:04:08.006465
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	10.000 V
UnitName=	L/min
TopValue=	50.00
BottomValue=	-50.00
0	0.5140625
0.001	0.13125
0.002	-0.3703125
0.003	-0.6625
0.004	-0.6140625
0.005	-0.3453125
0.006	-0.0390625
0.007	0.21875
0.008	0.3390625
0.009	0.178125
0.01	-0.26875
0.011	-0.7609375
0.012	-1.0125
0.013	-0.9234375
0.014	-0.59375
0.015	-0.21875
0.016	0.05
0.017	0.15625
0.018	0.0859375
0.019	-0.1421875
0.02	-0.4203125
0.021	-0.5328125
0.022	-0.325
0.023	0.06875
0.024	0.3296875
0.025	0.3328125
0.026	0.225
0.027	0.109375
0.028	-0.09375
0.029	-0.4
0.03	-0.6453125
0.031	-0.653125
0.032	-0.4234375
0.033	-0.096875
0.034	0.203125
0.035	0.4453125
0.036	0.5625
0.037	0.4203125
0.038	0.009375
0.039	-0.4203125
0.04	-0.5796875
0.041	-0.4140625
0.042	-0.1125
0.043	0.15
0.044	0.346875
0.045	0.4296875
0.046	0.2234375
0.047	-0.2734375
0.048	-0.7390625
0.049	-0.8484375
0.05	-0.625
0.051	-0.3203125
0.052	-0.0921875
0.053	0.0890625
0.054	0.2421875
0.055	0.2578125
0.056	0.04375
0.057	-0.3125
0.058	-0.5875
0.059	-0.6
0.06	-0.3484375
0.061	0
0.062	0.2890625
0.063	0.440625
0.064	0.35625
0.065	0.01875
0.066	-0.36875
0.067	-0.521875
0.068	-0.353125
0.069	-0.00625
0.07	0.33125
0.071	0.5953125
0.072	0.775
0.073	0.7296875
0.074	0.3671875
0.075	-0.0953125
0.076	-0.3140625
0.077	-0.1890625
0.078	0.08125
0.079	0.2875
0.08	0.4015625
0.081	0.5015625
0.082	0.534375
0.083	0.35625
0.084	-0.0046875
0.085	-0.321875
0.086	-0.4171875
0.087	-0.3015625
0.088	-0.078125
0.089	0.190625
0.09	0.4390625
0.091	0.5015625
0.092	0.2671875
0.093	-0.11875
0.094	-0.38125
0.095	-0.3640625
0.096	-0.1296875
0.097	0.128125
0.098	0.3078125
0.099	0.4171875
0.1	0.3953125
0.101	0.1234375
0.102	-0.353125
0.103	-0.8125
0.104	-1.0375
0.105	-0.8984375
0.106	-0.4484375
0.107	0.0453125
0.108	0.334375
0.109	0.3578125
0.11	0.175
0.111	-0.10625
0.112	-0.340625
0.113	-0.415625
0.114	-0.3015625
0.115	-0.059375
0.116	0.1984375
0.117	0.403125
0.118	0.4890625
0.119	0.3375
0.12	-0.021875
