Interval=	0.001 s
ExcelDateTime=	4.5370556171032535e+004	3/19/2024 13:20:53.177211
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	10.000 V
UnitName=	L/min
TopValue=	50.00
BottomValue=	-50.00
0	0.5046875
0.001	0.7375
0.002	1.067188
0.003	1.325
0.004	1.115625
0.005	0.4421875
0.006	-0.2015625
0.007	-0.4609375
0.008	-0.3984375
0.009	-0.2109375
0.01	-0.021875
0.011	0.10625
0.012	0.1375
0.013	0.034375
0.014	-0.171875
0.015	-0.3375
0.016	-0.334375
0.017	-0.159375
0.018	0.1171875
0.019	0.3875
0.02	0.5578125
0.021	0.5546875
0.022	0.346875
0.023	0.0140625
0.024	-0.234375
0.025	-0.225
0.026	0.034375
0.027	0.425
0.028	0.846875
0.029	1.220313
0.03	1.357813
0.031	1.01875
0.032	0.209375
0.033	-0.6640625
0.034	-1.115625
0.035	-0.9984375
0.036	-0.540625
0.037	-0.0484375
0.038	0.3453125
0.039	0.5828125
0.04	0.53125
0.041	0.18125
0.042	-0.1859375
0.043	-0.271875
0.044	-0.0515625
0.045	0.275
0.046	0.496875
0.047	0.540625
0.048	0.4703125
0.049	0.31875
0.05	0.025
0.051	-0.36875
0.052	-0.628125
0.053	-0.525
0.054	-0.0453125
0.055	0.584375
0.056	1.028125
0.057	1.070313
0.058	0.709375
0.059	0.1203125
0.06	-0.4375
0.061	-0.7453125
0.062	-0.7421875
0.063	-0.546875
0.064	-0.3125
0.065	-0.0109375
0.066	0.478125
0.067	0.975
0.068	1.026563
0.069	0.5015625
0.07	-0.20625
0.071	-0.6234375
0.072	-0.6125
0.073	-0.309375
0.074	0.134375
0.075	0.6
0.076	0.865625
0.077	0.6734375
0.078	0.0328125
0.079	-0.7046875
0.08	-1.125
0.081	-1.054688
0.082	-0.6234375
0.083	-0.1109375
0.084	0.25625
0.085	0.3828125
0.086	0.2578125
0.087	-0.0328125
0.088	-0.2828125
0.089	-0.26875
0.09	0.025
0.091	0.375
0.092	0.584375
0.093	0.6234375
0.094	0.51875
0.095	0.265625
0.096	-0.0484375
0.097	-0.2234375
0.098	-0.1484375
0.099	0.084375
0.1	0.2921875
0.101	0.4078125
0.102	0.50625
0.103	0.565625
0.104	0.3984375
0.105	-0.021875
0.106	-0.3953125
0.107	-0.45
0.108	-0.259375
0.109	-0.05
0.11	0.1203125
0.111	0.3546875
0.112	0.58125
0.113	0.515625
0.114	0.0640625
0.115	-0.4546875
0.116	-0.6609375
0.117	-0.4890625
0.118	-0.1546875
0.119	0.1265625
0.12	0.2984375
0.121	0.375
0.122	0.271875
0.123	-0.1109375
0.124	-0.6328125
0.125	-0.9625
0.126	-0.8953125
0.127	-0.4625
0.128	0.1578125
0.129	0.6953125
0.13	0.9171875
0.131	0.7671875
0.132	0.33125
0.133	-0.2078125
0.134	-0.6359375
0.135	-0.8734375
0.136	-0.984375
0.137	-0.94375
0.138	-0.5375
0.139	0.2515625
0.14	0.9234375
0.141	0.93125
0.142	0.36875
0.143	-0.2
0.144	-0.46875
0.145	-0.56875
0.146	-0.5625
0.147	-0.26875
0.148	0.3140625
0.149	0.7390625
0.15	0.6171875
0.151	0.175
0.152	-0.0625
0.153	0.0296875
0.154	0.19375
0.155	0.275
0.156	0.340625
0.157	0.41875
0.158	0.3828125
0.159	0.140625
0.16	-0.178125
0.161	-0.3109375
0.162	-0.1421875
0.163	0.209375
0.164	0.559375
0.165	0.815625
0.166	0.996875
0.167	1.034375
0.168	0.75
0.169	0.1640625
0.17	-0.415625
0.171	-0.6890625
0.172	-0.5765625
0.173	-0.1796875
0.174	0.3765625
0.175	0.9734375
0.176	1.33125
0.177	1.11875
0.178	0.375
0.179	-0.4015625
0.18	-0.7265625
0.181	-0.5421875
0.182	-0.121875
0.183	0.2859375
0.184	0.5984375
0.185	0.7453125
0.186	0.6203125
0.187	0.28125
0.188	-0.025
0.189	-0.134375
0.19	-0.096875
0.191	-0.028125
0.192	0.040625
0.193	0.153125
0.194	0.265625
0.195	0.2046875
0.196	-0.121875
0.197	-0.540625
0.198	-0.75
0.199	-0.571875
0.2	-0.065625
0.201	0.4859375
0.202	0.796875
0.203	0.75625
0.204	0.4296875
0.205	-0.015625
0.206	-0.3671875
0.207	-0.465625
0.208	-0.25
0.209	0.2265625
0.21	0.7953125
0.211	1.234375
0.212	1.389063
0.213	1.234375
0.214	0.8921875
0.215	0.5421875
0.216	0.2875
0.217	0.0984375
0.218	-0.0734375
0.219	-0.1640625
0.22	-0.084375
0.221	0.0703125
0.222	0.0609375
0.223	-0.1578125
0.224	-0.3421875
0.225	-0.234375
0.226	0.090625
0.227	0.3328125
0.228	0.353125
0.229	0.3125
0.23	0.3859375
0.231	0.5125
0.232	0.446875
0.233	0.0328125
0.234	-0.590625
0.235	-1.034375
0.236	-0.9765625
0.237	-0.4578125
0.238	0.1859375
0.239	0.6296875
0.24	0.7125
0.241	0.43125
0.242	-0.0515625
0.243	-0.5015625
0.244	-0.728125
0.245	-0.665625
0.246	-0.40625
0.247	-0.1078125
0.248	0.1515625
0.249	0.284375
0.25	0.1375
0.251	-0.2203125
0.252	-0.446875
0.253	-0.3484375
0.254	-0.0828125
0.255	0.11875
0.256	0.2546875
0.257	0.44375
0.258	0.5875
0.259	0.41875
0.26	-0.0546875
0.261	-0.471875
0.262	-0.54375
0.263	-0.35625
0.264	-0.146875
0.265	-0.0125
0.266	0.084375
0.267	0.1421875
0.268	0.09375
0.269	-0.08125
0.27	-0.30625
0.271	-0.43125
0.272	-0.3125
0.273	0.025
0.274	0.3671875
0.275	0.5484375
0.276	0.5484375
0.277	0.3859375
0.278	0.09375
0.279	-0.221875
0.28	-0.390625
0.281	-0.3
0.282	-0.0390625
0.283	0.221875
0.284	0.4484375
0.285	0.559375
0.286	0.3453125
0.287	-0.1671875
0.288	-0.60625
0.289	-0.709375
0.29	-0.5359375
0.291	-0.259375
0.292	0.009375
0.293	0.1984375
0.294	0.2015625
0.295	-0.065625
0.296	-0.51875
0.297	-0.8796875
0.298	-0.89375
0.299	-0.5625
0.3	-0.128125
0.301	0.1828125
0.302	0.340625
0.303	0.41875
0.304	0.3859375
0.305	0.153125
0.306	-0.1890625
0.307	-0.390625
0.308	-0.3171875
0.309	-0.125
0.31	-0.075
0.311	-0.1953125
0.312	-0.275
0.313	-0.2125
