Interval=	0.001 s
ExcelDateTime=	4.5370514341853195e+004	3/19/2024 12:20:39.136116
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	10.000 V
UnitName=	L/min
TopValue=	50.00
BottomValue=	-50.00
0	-0.5359375
0.001	-0.009375
0.002	0.4640625
0.003	0.7453125
0.004	0.7984375
0.005	0.5765625
0.006	0.14375
0.007	-0.25
0.008	-0.4
0.009	-0.2609375
0.01	0.1203125
0.011	0.6078125
0.012	0.93125
0.013	0.8140625
0.014	0.2890625
0.015	-0.2125
0.016	-0.25625
0.017	0.140625
0.018	0.5875
0.019	0.8
0.02	0.8453125
0.021	0.9671875
0.022	1.153125
0.023	0.98125
0.024	0.2046875
0.025	-0.7234375
0.026	-1.178125
0.027	-1.121875
0.028	-0.8921875
0.029	-0.628125
0.03	-0.30625
0.031	-0.1
0.032	-0.3
0.033	-0.8515625
0.034	-1.298438
0.035	-1.257813
0.036	-0.784375
0.037	-0.278125
0.038	-0.071875
0.039	-0.08125
0.04	-0.0390625
0.041	0.03125
0.042	-0.065625
0.043	-0.278125
0.044	-0.403125
0.045	-0.365625
0.046	-0.1546875
0.047	0.2671875
0.048	0.79375
0.049	1.084375
0.05	0.8234375
0.051	0.115625
0.052	-0.5640625
0.053	-0.84375
0.054	-0.7234375
0.055	-0.4
0.056	-0.0140625
0.057	0.4046875
0.058	0.78125
0.059	0.8625
0.06	0.48125
0.061	-0.1171875
0.062	-0.4765625
0.063	-0.38125
0.064	0.034375
0.065	0.4453125
0.066	0.603125
0.067	0.4265625
0.068	-0.0921875
0.069	-0.7875
0.07	-1.271875
0.071	-1.289063
0.072	-0.896875
0.073	-0.3375
0.074	0.0953125
0.075	0.2671875
0.076	0.3265625
0.077	0.4359375
0.078	0.4703125
0.079	0.1828125
0.08	-0.3453125
0.081	-0.703125
0.082	-0.5984375
0.083	-0.1265625
0.084	0.4171875
0.085	0.8015625
0.086	0.8296875
0.087	0.3921875
0.088	-0.3125
0.089	-0.8515625
0.09	-0.93125
0.091	-0.5984375
0.092	-0.153125
0.093	0.1359375
0.094	0.221875
0.095	0.1765625
0.096	0.003125
0.097	-0.225
0.098	-0.265625
0.099	0.009375
0.1	0.4109375
0.101	0.6421875
0.102	0.5203125
0.103	0.0578125
0.104	-0.5328125
0.105	-0.9421875
0.106	-1.00625
0.107	-0.8171875
0.108	-0.5984375
0.109	-0.4109375
0.11	-0.146875
0.111	0.2078125
0.112	0.4734375
0.113	0.4546875
0.114	0.0984375
0.115	-0.409375
0.116	-0.7703125
0.117	-0.8375
0.118	-0.6625
0.119	-0.340625
0.12	0.0921875
0.121	0.6109375
0.122	1.004688
0.123	0.9125
0.124	0.25625
0.125	-0.4984375
0.126	-0.7984375
0.127	-0.5640625
0.128	-0.1171875
0.129	0.31875
0.13	0.78125
0.131	1.153125
0.132	1.065625
0.133	0.421875
0.134	-0.375
0.135	-0.8390625
0.136	-0.7875
0.137	-0.36875
0.138	0.1734375
0.139	0.6640625
0.14	0.934375
0.141	0.8171875
0.142	0.31875
0.143	-0.3484375
0.144	-0.9125
0.145	-1.117188
0.146	-0.8140625
0.147	-0.0671875
0.148	0.8671875
0.149	1.55625
0.15	1.53125
0.151	0.753125
0.152	-0.20625
0.153	-0.721875
0.154	-0.63125
0.155	-0.1765625
0.156	0.3203125
0.157	0.6984375
0.158	0.8765625
0.159	0.703125
0.16	0.1671875
0.161	-0.396875
0.162	-0.6328125
0.163	-0.5203125
0.164	-0.3546875
0.165	-0.3953125
0.166	-0.509375
0.167	-0.3515625
0.168	0.05
0.169	0.3125
0.17	0.2546875
0.171	0.084375
0.172	0.05625
0.173	0.196875
0.174	0.4125
0.175	0.678125
0.176	0.9421875
0.177	0.9765625
0.178	0.60625
0.179	-0.04375
0.18	-0.6390625
0.181	-0.85
0.182	-0.565625
0.183	-0.0265625
0.184	0.4
0.185	0.534375
0.186	0.3578125
0.187	-0.0828125
0.188	-0.5921875
0.189	-0.8484375
0.19	-0.6671875
0.191	-0.1390625
0.192	0.45
0.193	0.865625
0.194	1.09375
0.195	1.189063
0.196	1.079688
0.197	0.6921875
0.198	0.184375
0.199	-0.1984375
0.2	-0.4359375
0.201	-0.6
0.202	-0.5640625
0.203	-0.18125
0.204	0.3296875
0.205	0.5234375
0.206	0.2984375
0.207	0.00625
0.208	-0.0765625
0.209	-0.00625
0.21	0.096875
0.211	0.303125
0.212	0.653125
0.213	0.8734375
0.214	0.640625
0.215	0.0265625
0.216	-0.5671875
0.217	-0.8171875
0.218	-0.6796875
0.219	-0.3015625
0.22	0.1609375
0.221	0.59375
0.222	0.84375
0.223	0.7203125
0.224	0.2828125
0.225	-0.0890625
0.226	-0.121875
0.227	0.0484375
0.228	0.15625
0.229	0.121875
0.23	0.040625
0.231	-0.0078125
0.232	-0.1234375
0.233	-0.425
0.234	-0.7578125
0.235	-0.84375
0.236	-0.65
0.237	-0.3734375
0.238	-0.121875
0.239	0.1828125
0.24	0.503125
0.241	0.534375
0.242	0.109375
0.243	-0.4609375
0.244	-0.75
0.245	-0.6859375
0.246	-0.4640625
0.247	-0.20625
0.248	0.0921875
0.249	0.390625
0.25	0.5
0.251	0.2671875
0.252	-0.184375
0.253	-0.546875
0.254	-0.6515625
0.255	-0.51875
0.256	-0.1734375
0.257	0.371875
0.258	0.9109375
0.259	1.05
0.26	0.5703125
0.261	-0.30625
0.262	-1.059375
0.263	-1.264063
0.264	-0.8859375
0.265	-0.2640625
0.266	0.215625
0.267	0.4125
0.268	0.346875
0.269	0.0140625
0.27	-0.50625
0.271	-0.896875
0.272	-0.8328125
0.273	-0.371875
0.274	0.10625
0.275	0.3859375
0.276	0.575
0.277	0.696875
0.278	0.5234375
0.279	0
0.28	-0.5234375
0.281	-0.665625
0.282	-0.440625
0.283	-0.1359375
0.284	0.05625
0.285	0.14375
0.286	0.09375
0.287	-0.1953125
0.288	-0.634375
0.289	-0.934375
0.29	-0.9421875
0.291	-0.709375
0.292	-0.346875
0.293	0.0484375
0.294	0.41875
0.295	0.7421875
0.296	0.8984375
0.297	0.6671875
0.298	0.0640625
0.299	-0.55625
0.3	-0.83125
0.301	-0.6203125
0.302	-0.0015625
0.303	0.7125
0.304	1.104688
0.305	0.9296875
0.306	0.2796875
0.307	-0.4375
0.308	-0.7765625
0.309	-0.6015625
0.31	-0.1328125
0.311	0.33125
0.312	0.68125
0.313	0.95
0.314	1.089063
0.315	0.9984375
0.316	0.665625
0.317	0.2421875
0.318	-0.021875
0.319	-0.0265625
0.32	0.0421875
0.321	-0.0125
0.322	-0.1421875
0.323	-0.2578125
0.324	-0.4203125
0.325	-0.66875
0.326	-0.8796875
0.327	-0.8359375
0.328	-0.4265625
0.329	0.2171875
0.33	0.8171875
0.331	1.140625
0.332	1.05625
0.333	0.6265625
0.334	0.1484375
0.335	-0.0671875
0.336	0.03125
0.337	0.2890625
0.338	0.5390625
0.339	0.7171875
0.34	0.8453125
0.341	0.84375
0.342	0.528125
0.343	-0.08125
0.344	-0.63125
0.345	-0.790625
0.346	-0.5609375
0.347	-0.1640625
0.348	0.23125
0.349	0.534375
0.35	0.59375
0.351	0.2765625
0.352	-0.2515625
0.353	-0.64375
0.354	-0.7328125
0.355	-0.5984375
0.356	-0.35
0.357	-0.0484375
0.358	0.2046875
0.359	0.3203125
0.36	0.2765625
0.361	0.075
0.362	-0.2578125
0.363	-0.54375
0.364	-0.528125
0.365	-0.2125
0.366	0.0765625
0.367	0.11875
0.368	0.0296875
0.369	-0.09375
0.37	-0.3609375
0.371	-0.79375
0.372	-1.146875
0.373	-1.10625
0.374	-0.6078125
0.375	0.159375
0.376	0.9296875
0.377	1.373438
0.378	1.179688
0.379	0.4625
0.38	-0.2140625
0.381	-0.446875
