Interval=	0.001 s
ExcelDateTime=	4.5370618229837324e+004	3/19/2024 14:50:15.057945
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	10.000 V
UnitName=	L/min
TopValue=	50.00
BottomValue=	-50.00
0	-0.2546875
0.001	0.0875
0.002	0.4640625
0.003	0.6953125
0.004	0.678125
0.005	0.446875
0.006	0.1296875
0.007	-0.128125
0.008	-0.2265625
0.009	-0.1421875
0.01	0.121875
0.011	0.53125
0.012	0.865625
0.013	0.765625
0.014	0.1453125
0.015	-0.58125
0.016	-0.859375
0.017	-0.5359375
0.018	0.015625
0.019	0.3671875
0.02	0.4765625
0.021	0.515625
0.022	0.4328125
0.023	0.0578125
0.024	-0.4640625
0.025	-0.71875
0.026	-0.478125
0.027	0.0640625
0.028	0.503125
0.029	0.6390625
0.03	0.5578125
0.031	0.3796875
0.032	0.16875
0.033	-0.028125
0.034	-0.1859375
0.035	-0.259375
0.036	-0.175
0.037	0.0640625
0.038	0.39375
0.039	0.69375
0.04	0.71875
0.041	0.2984375
0.042	-0.35625
0.043	-0.7828125
0.044	-0.7375
0.045	-0.35625
0.046	0.078125
0.047	0.40625
0.048	0.5828125
0.049	0.5296875
0.05	0.215625
0.051	-0.125
0.052	-0.16875
0.053	0.0859375
0.054	0.3546875
0.055	0.4453125
0.056	0.4078125
0.057	0.3640625
0.058	0.3171875
0.059	0.18125
0.06	-0.0265625
0.061	-0.1328125
0.062	0.034375
0.063	0.4265625
0.064	0.7921875
0.065	0.9171875
0.066	0.8140625
0.067	0.628125
0.068	0.46875
0.069	0.3484375
0.07	0.171875
0.071	-0.1015625
0.072	-0.3515625
0.073	-0.39375
0.074	-0.121875
0.075	0.3578125
0.076	0.6984375
0.077	0.5625
0.078	0.021875
0.079	-0.478125
0.08	-0.596875
0.081	-0.3578125
0.082	0.05625
0.083	0.55
0.084	1.05625
0.085	1.3125
0.086	1.01875
0.087	0.2859375
0.088	-0.36875
0.089	-0.5453125
0.09	-0.2953125
0.091	0.05625
0.092	0.278125
0.093	0.3796875
0.094	0.4359375
0.095	0.3765625
0.096	0.109375
0.097	-0.2828125
0.098	-0.5734375
0.099	-0.5953125
0.1	-0.3765625
0.101	-0.090625
0.102	0.1375
0.103	0.3109375
0.104	0.475
0.105	0.6265625
0.106	0.6546875
0.107	0.5109375
0.108	0.38125
0.109	0.4375
0.11	0.6203125
0.111	0.8265625
0.112	0.94375
0.113	0.7453125
0.114	0.1671875
0.115	-0.4828125
0.116	-0.8140625
0.117	-0.7203125
0.118	-0.3546875
0.119	0.109375
0.12	0.5609375
0.121	0.8140625
0.122	0.6625
0.123	0.1484375
0.124	-0.3796875
0.125	-0.6015625
0.126	-0.50625
0.127	-0.271875
0.128	-0.04375
0.129	0.1234375
0.13	0.228125
0.131	0.284375
0.132	0.2484375
0.133	0.0609375
0.134	-0.209375
0.135	-0.4140625
0.136	-0.4984375
0.137	-0.49375
0.138	-0.36875
0.139	-0.1203125
0.14	0.05
0.141	-0.0921875
0.142	-0.4640625
0.143	-0.7390625
0.144	-0.7140625
0.145	-0.4359375
0.146	-0.0484375
0.147	0.3421875
0.148	0.640625
0.149	0.678125
0.15	0.334375
0.151	-0.2453125
0.152	-0.6859375
0.153	-0.6984375
0.154	-0.3328125
0.155	0.096875
0.156	0.3390625
0.157	0.3734375
0.158	0.240625
0.159	-0.0625
0.16	-0.4390625
0.161	-0.65625
0.162	-0.5703125
0.163	-0.2609375
0.164	0.08125
0.165	0.315625
0.166	0.425
0.167	0.4671875
0.168	0.4515625
0.169	0.3
0.17	0.0140625
0.171	-0.2625
0.172	-0.3640625
0.173	-0.2109375
0.174	0.1453125
0.175	0.4890625
0.176	0.571875
0.177	0.3265625
0.178	-0.0578125
0.179	-0.3390625
0.18	-0.4203125
0.181	-0.325
0.182	-0.153125
0.183	0.0296875
0.184	0.275
0.185	0.5546875
0.186	0.621875
0.187	0.33125
0.188	-0.0828125
0.189	-0.265625
0.19	-0.125
0.191	0.1578125
0.192	0.428125
0.193	0.6765625
0.194	0.8109375
0.195	0.6265625
0.196	0.1171875
0.197	-0.3859375
0.198	-0.5453125
0.199	-0.3546875
0.2	-0.0453125
0.201	0.1921875
0.202	0.3296875
0.203	0.4
0.204	0.428125
0.205	0.478125
0.206	0.503125
0.207	0.34375
0.208	0.06875
0.209	-0.00625
0.21	0.25
0.211	0.6046875
0.212	0.7015625
0.213	0.3953125
0.214	-0.109375
0.215	-0.459375
0.216	-0.5140625
0.217	-0.38125
0.218	-0.2109375
0.219	-0.040625
0.22	0.2046875
0.221	0.5109375
0.222	0.6140625
0.223	0.2984375
0.224	-0.2296875
0.225	-0.5234375
0.226	-0.4015625
0.227	-0.084375
0.228	0.1515625
0.229	0.284375
0.23	0.415625
0.231	0.475
0.232	0.2828125
0.233	-0.075
0.234	-0.2515625
0.235	-0.0875
0.236	0.171875
0.237	0.20625
0.238	0.0390625
0.239	-0.0875
0.24	-0.0921875
0.241	-0.115625
0.242	-0.2578125
0.243	-0.4390625
0.244	-0.478125
0.245	-0.2453125
0.246	0.2015625
0.247	0.628125
0.248	0.8125
0.249	0.678125
0.25	0.2875
0.251	-0.175
0.252	-0.4546875
0.253	-0.4234375
0.254	-0.15
0.255	0.259375
0.256	0.7625
0.257	1.232813
0.258	1.360938
0.259	0.9328125
0.26	0.1703125
0.261	-0.4265625
0.262	-0.5890625
0.263	-0.41875
0.264	-0.115625
0.265	0.2296875
0.266	0.6109375
0.267	0.925
0.268	0.921875
0.269	0.525
0.27	0.0296875
0.271	-0.2359375
0.272	-0.259375
0.273	-0.2296875
0.274	-0.24375
0.275	-0.2296875
0.276	-0.1453125
0.277	-0.1296875
0.278	-0.325
0.279	-0.6421875
0.28	-0.821875
0.281	-0.6875
0.282	-0.340625
0.283	-0.0734375
0.284	-0.01875
0.285	-0.0671875
0.286	-0.15625
0.287	-0.34375
0.288	-0.6109375
0.289	-0.7828125
0.29	-0.6796875
0.291	-0.303125
0.292	0.178125
0.293	0.6015625
0.294	0.8046875
0.295	0.6296875
0.296	0.121875
0.297	-0.4
0.298	-0.6265625
0.299	-0.5109375
0.3	-0.2171875
0.301	0.1125
0.302	0.428125
0.303	0.6546875
0.304	0.6015625
0.305	0.1796875
0.306	-0.3640625
0.307	-0.6546875
0.308	-0.5984375
0.309	-0.4015625
0.31	-0.2515625
0.311	-0.1625
0.312	-0.0921875
0.313	-0.046875
0.314	-0.096875
0.315	-0.278125
0.316	-0.5
0.317	-0.5640625
0.318	-0.340625
0.319	0.0625
0.32	0.3984375
0.321	0.54375
0.322	0.4984375
0.323	0.265625
0.324	-0.0828125
0.325	-0.4046875
0.326	-0.5734375
0.327	-0.484375
0.328	-0.13125
0.329	0.296875
0.33	0.4859375
0.331	0.25625
0.332	-0.253125
0.333	-0.7015625
0.334	-0.865625
0.335	-0.75
0.336	-0.4671875
0.337	-0.1265625
0.338	0.20625
0.339	0.4734375
0.34	0.5328125
0.341	0.2921875
0.342	-0.0671875
0.343	-0.265625
0.344	-0.2203125
0.345	-0.00625
0.346	0.259375
0.347	0.4484375
0.348	0.5078125
0.349	0.4484375
0.35	0.278125
0.351	0.0046875
0.352	-0.2875
0.353	-0.4578125
0.354	-0.3890625
0.355	-0.1140625
0.356	0.1546875
0.357	0.2265625
0.358	0.1234375
0.359	-0.0703125
0.36	-0.334375
0.361	-0.6421875
0.362	-0.88125
0.363	-0.88125
0.364	-0.55625
0.365	0.01875
0.366	0.6671875
0.367	1.104688
0.368	0.996875
0.369	0.3484375
0.37	-0.353125
0.371	-0.66875
0.372	-0.640625
0.373	-0.53125
0.374	-0.3734375
0.375	-0.059375
0.376	0.2984375
0.377	0.3828125
0.378	0.0921875
0.379	-0.309375
0.38	-0.4875
0.381	-0.3703125
0.382	-0.1703125
0.383	-0.0984375
0.384	-0.109375
0.385	-0.0609375
0.386	0.0125
0.387	-0.0328125
0.388	-0.2140625
0.389	-0.365625
0.39	-0.28125
0.391	0.065625
0.392	0.5140625
0.393	0.9078125
0.394	1.117188
0.395	1.00625
0.396	0.5421875
0.397	-0.1046875
0.398	-0.6109375
0.399	-0.66875
0.4	-0.271875
0.401	0.2609375
0.402	0.63125
0.403	0.734375
0.404	0.50625
0.405	-0.03125
0.406	-0.6046875
0.407	-0.9171875
0.408	-0.9140625
0.409	-0.715625
0.41	-0.4109375
0.411	-0.04375
0.412	0.2546875
0.413	0.24375
0.414	-0.1109375
0.415	-0.465625
0.416	-0.521875
0.417	-0.365625
0.418	-0.234375
0.419	-0.215625
0.42	-0.209375
0.421	-0.1328125
0.422	-0.0890625
0.423	-0.2375
0.424	-0.5421875
